Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M8_T,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-21 15:21:39,
M8_T,0.06,0.01,0.04,0.05,0.04,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:310.7268|y:216.5478|z:25.35591),Pos(x:-0.5543548|y:1.147892|z:1.366513)|Rot(x:318.2657|y:222.697|z:34.23738),Pos(x:-0.5157834|y:1.17814|z:1.367637)|Rot(x:331.1928|y:237.6726|z:53.02087),Pos(x:-0.496628|y:1.193162|z:1.352816)|Rot(x:331.1927|y:237.6726|z:53.02084),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.91104|y:94.82081|z:359.6976),Pos(x:-0.5640147|y:1.234236|z:1.352948)|Rot(x:88.80975|y:82.97659|z:347.9802),Pos(x:-0.5381628|y:1.234763|z:1.350687)|Rot(x:42.63264|y:275.2221|z:180.337),Pos(x:-0.520005|y:1.214973|z:1.349186)|Rot(x:42.63259|y:275.2222|z:180.3371),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:29.61211|y:90|z:0),Pos(x:-0.5670887|y:1.242303|z:1.328133)|Rot(x:75.98107|y:90|z:0),Pos(x:-0.5401947|y:1.249018|z:1.328133)|Rot(x:62.28693|y:270|z:180),Pos(x:-0.5151411|y:1.235857|z:1.328133)|Rot(x:62.28697|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.68918|y:87.07214|z:0.1638799),Pos(x:-0.5720004|y:1.234535|z:1.305095)|Rot(x:64.01961|y:87.30923|z:0.3398793),Pos(x:-0.5483522|y:1.246076|z:1.306363)|Rot(x:73.64462|y:322.6132|z:234.4733),Pos(x:-0.5229341|y:1.241854|z:1.307682)|Rot(x:73.64461|y:322.6131|z:234.4732),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:19.6654|y:85.09475|z:356.4832),Pos(x:-0.5746316|y:1.220802|z:1.282287)|Rot(x:51.80907|y:85.32137|z:356.621),Pos(x:-0.5601657|y:1.23215|z:1.282384)|Rot(x:80.00875|y:111.109|z:22.00746),Pos(x:-0.5412199|y:1.235238|z:1.282782)|Rot(x:80.00875|y:111.1089|z:22.00731),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 15:22:09,
M8_T,0.09,0,0,0.02,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:333.2675|y:229.5618|z:0.4809193),Pos(x:-0.5720968|y:1.161218|z:1.366083)|Rot(x:342.531|y:230.8568|z:14.29638),Pos(x:-0.5533923|y:1.206539|z:1.365697)|Rot(x:0.6313066|y:241.2474|z:45.22604),Pos(x:-0.5438541|y:1.226611|z:1.347853)|Rot(x:0.6312964|y:241.2475|z:45.22603),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:13.68379|y:94.93349|z:359.7448),Pos(x:-0.5796804|y:1.241334|z:1.354286)|Rot(x:33.77956|y:94.828|z:359.7017),Pos(x:-0.5653117|y:1.262908|z:1.352937)|Rot(x:51.86563|y:94.67802|z:359.5984),Pos(x:-0.5442395|y:1.279519|z:1.351023)|Rot(x:51.86566|y:94.67792|z:359.5984),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:16.64254|y:90|z:0),Pos(x:-0.5780577|y:1.246988|z:1.328133)|Rot(x:42.58072|y:90|z:0),Pos(x:-0.5593019|y:1.267398|z:1.328133)|Rot(x:65.92509|y:90|z:0),Pos(x:-0.5334636|y:1.278943|z:1.328133)|Rot(x:65.92508|y:90.00012|z:0.0001046468),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:15.77638|y:87.04575|z:0.1547206),Pos(x:-0.578777|y:1.237036|z:1.304747)|Rot(x:40.59473|y:87.13129|z:0.1960938),Pos(x:-0.5616608|y:1.25704|z:1.305694)|Rot(x:60.01571|y:59.2641|z:335.58),Pos(x:-0.5387198|y:1.268781|z:1.306926)|Rot(x:60.01571|y:59.2641|z:335.58),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.7832|y:85.07623|z:356.4776),Pos(x:-0.5771629|y:1.221614|z:1.28207)|Rot(x:40.60137|y:85.21868|z:356.5465),Pos(x:-0.5651683|y:1.235548|z:1.281962)|Rot(x:62.87807|y:94.59329|z:4.871563),Pos(x:-0.5480654|y:1.244269|z:1.282223)|Rot(x:62.8781|y:94.59319|z:4.871473),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-21 15:22:39,
M8_T,0.5,0,0.5,0.5,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:333.804|y:232.7346|z:9.077599),Pos(x:-0.5679404|y:1.16091|z:1.359629)|Rot(x:346.2591|y:237.136|z:27.75343),Pos(x:-0.5468938|y:1.203058|z:1.346044)|Rot(x:4.710693|y:258.1948|z:70.50994),Pos(x:-0.5421616|y:1.212534|z:1.319586)|Rot(x:4.710665|y:258.1948|z:70.50995),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:20.9762|y:94.8988|z:359.7344),Pos(x:-0.5740154|y:1.23956|z:1.353799)|Rot(x:53.60918|y:94.65742|z:359.5821),Pos(x:-0.553206|y:1.254959|z:1.351913)|Rot(x:82.9756|y:92.98109|z:357.972),Pos(x:-0.5266103|y:1.258246|z:1.349575)|Rot(x:82.97566|y:92.98053|z:357.9715),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:24.68549|y:90|z:0),Pos(x:-0.5711277|y:1.244374|z:1.328133)|Rot(x:62.81624|y:90|z:0),Pos(x:-0.5464698|y:1.257038|z:1.328133)|Rot(x:82.86617|y:270|z:180),Pos(x:-0.5183889|y:1.253523|z:1.328133)|Rot(x:82.86617|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:21.9787|y:87.06379|z:0.1605605),Pos(x:-0.574019|y:1.235407|z:1.304991)|Rot(x:56.36112|y:87.22747|z:0.2687849),Pos(x:-0.552118|y:1.250001|z:1.306176)|Rot(x:76.3027|y:8.12917|z:281.4499),Pos(x:-0.526382|y:1.251213|z:1.307526)|Rot(x:76.30272|y:8.129138|z:281.4498),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.70397|y:85.0901|z:356.4817),Pos(x:-0.5752534|y:1.221019|z:1.282234)|Rot(x:49.47422|y:85.29621|z:356.6015),Pos(x:-0.5612599|y:1.232945|z:1.282292)|Rot(x:76.70953|y:104.3867|z:15.16288),Pos(x:-0.5425425|y:1.237205|z:1.282675)|Rot(x:76.70956|y:104.3866|z:15.16279),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-21 15:23:09,
M8_T,0.1,0,0.1,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:327.3362|y:230.9749|z:5.941837),Pos(x:-0.5661944|y:1.15877|z:1.364863)|Rot(x:336.8543|y:233.4272|z:19.74441),Pos(x:-0.5417575|y:1.201203|z:1.362369)|Rot(x:353.6951|y:245.1029|z:48.31732),Pos(x:-0.5309088|y:1.220041|z:1.343939)|Rot(x:353.695|y:245.103|z:48.3173),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:15.98558|y:94.92284|z:359.7421),Pos(x:-0.5778686|y:1.240852|z:1.35413)|Rot(x:39.14067|y:94.79206|z:359.6803),Pos(x:-0.5615542|y:1.260984|z:1.352617)|Rot(x:59.98003|y:94.56473|z:359.5044),Pos(x:-0.5383561|y:1.274441|z:1.350531)|Rot(x:59.98005|y:94.56461|z:359.5043),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:20.48625|y:90|z:0),Pos(x:-0.5747002|y:1.24586|z:1.328133)|Rot(x:51.23435|y:90|z:0),Pos(x:-0.5530869|y:1.263216|z:1.328133)|Rot(x:78.90767|y:90|z:0),Pos(x:-0.5253156|y:1.268661|z:1.328133)|Rot(x:78.90758|y:90.00025|z:0.0002573851),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:15.86796|y:87.04602|z:0.1547881),Pos(x:-0.5787055|y:1.237016|z:1.30475)|Rot(x:40.69625|y:87.13174|z:0.1963922),Pos(x:-0.5615539|y:1.25699|z:1.3057)|Rot(x:60.11339|y:59.17498|z:335.4768),Pos(x:-0.5385904|y:1.268686|z:1.306932)|Rot(x:60.1134|y:59.175|z:335.4768),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:15.87477|y:85.07664|z:356.4777),Pos(x:-0.5771026|y:1.221596|z:1.282075)|Rot(x:40.70286|y:85.21944|z:356.547),Pos(x:-0.5650834|y:1.23551|z:1.281969)|Rot(x:62.98697|y:94.62984|z:4.91206),Pos(x:-0.5479638|y:1.244198|z:1.282232)|Rot(x:62.987|y:94.62973|z:4.911961),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 15:23:39,
M8_T,0.02,0,0.02,0.02,0.03,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:336.9394|y:234.5074|z:359.9916),Pos(x:-0.5733685|y:1.162404|z:1.363544)|Rot(x:347.4573|y:236.0377|z:15.80542),Pos(x:-0.5574107|y:1.208455|z:1.358191)|Rot(x:6.185196|y:248.0639|z:49.95217),Pos(x:-0.5510932|y:1.226686|z:1.337216)|Rot(x:6.185169|y:248.0639|z:49.95217),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:20.76749|y:94.89983|z:359.7348),Pos(x:-0.5741742|y:1.239621|z:1.353812)|Rot(x:69.40139|y:94.33412|z:359.2952),Pos(x:-0.5499731|y:1.248752|z:1.351658)|Rot(x:66.82436|y:275.5731|z:180.63),Pos(x:-0.5253335|y:1.238166|z:1.349551)|Rot(x:66.82432|y:275.5733|z:180.6302),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:21.69666|y:90|z:0),Pos(x:-0.5736594|y:1.245459|z:1.328133)|Rot(x:70.27475|y:90|z:0),Pos(x:-0.5475664|y:1.254814|z:1.328133)|Rot(x:66.00497|y:270|z:180),Pos(x:-0.521712|y:1.243306|z:1.328133)|Rot(x:66.00502|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.1199|y:87.07036|z:0.16314),Pos(x:-0.5724208|y:1.234726|z:1.305073)|Rot(x:62.6371|y:87.2914|z:0.3239537),Pos(x:-0.5490577|y:1.246835|z:1.306328)|Rot(x:74.74169|y:329.0005|z:241.1165),Pos(x:-0.5235015|y:1.243555|z:1.307657)|Rot(x:74.74167|y:329.0005|z:241.1165),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.70397|y:85.0901|z:356.4817),Pos(x:-0.5752534|y:1.221019|z:1.282234)|Rot(x:49.47422|y:85.29621|z:356.6015),Pos(x:-0.5612599|y:1.232945|z:1.282292)|Rot(x:76.70953|y:104.3867|z:15.16288),Pos(x:-0.5425425|y:1.237205|z:1.282675)|Rot(x:76.70956|y:104.3866|z:15.16279),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 15:24:09,
M8_T,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:335.9784|y:225.4905|z:350.144),Pos(x:-0.5800787|y:1.161518|z:1.371259)|Rot(x:342.6325|y:224.9118|z:0.548638),Pos(x:-0.5694138|y:1.208311|z:1.381292)|Rot(x:357.2605|y:228.0072|z:23.05871),Pos(x:-0.5610141|y:1.234504|z:1.373834)|Rot(x:357.2605|y:228.0072|z:23.0587),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:357.1647|y:95.00613|z:359.7517),Pos(x:-0.5930248|y:1.242606|z:1.355446)|Rot(x:1.114187|y:94.98904|z:359.752),Pos(x:-0.5925318|y:1.268557|z:1.355291)|Rot(x:4.668741|y:94.97361|z:359.7512),Pos(x:-0.5903606|y:1.295367|z:1.354984)|Rot(x:4.668786|y:94.97356|z:359.7512),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:359.2331|y:90|z:0),Pos(x:-0.5938879|y:1.249195|z:1.328133)|Rot(x:2.243734|y:90|z:0),Pos(x:-0.5928026|y:1.276893|z:1.328133)|Rot(x:4.953279|y:90|z:0),Pos(x:-0.5903592|y:1.305088|z:1.328133)|Rot(x:4.953231|y:90.00005|z:2.142435E-06),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:1.374823|y:87.00726|z:0.1489369),Pos(x:-0.5902974|y:1.238776|z:1.304148)|Rot(x:7.55788|y:87.02346|z:0.1502049),Pos(x:-0.5868407|y:1.264891|z:1.304397)|Rot(x:12.78516|y:73.10249|z:357.0142),Pos(x:-0.5809945|y:1.290017|z:1.304768)|Rot(x:12.78515|y:73.10249|z:357.0142),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:1.381734|y:85.01213|z:356.4679),Pos(x:-0.5868862|y:1.223087|z:1.281227)|Rot(x:7.564757|y:85.03907|z:356.47),Pos(x:-0.5843815|y:1.241278|z:1.280308)|Rot(x:13.34916|y:89.31329|z:357.4481),Pos(x:-0.5799429|y:1.259941|z:1.279506)|Rot(x:13.34921|y:89.31325|z:357.4481),No,,,2024-10-21 15:24:39,
M8_T,0.3,0,0.09,0.3,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:337.7624|y:234.3872|z:2.391777),Pos(x:-0.5728036|y:1.162612|z:1.361731)|Rot(x:349.3275|y:236.7497|z:19.81719),Pos(x:-0.5565458|y:1.20794|z:1.352514)|Rot(x:8.69164|y:252.4377|z:58.81945),Pos(x:-0.5513143|y:1.222527|z:1.328595)|Rot(x:8.69161|y:252.4377|z:58.81944),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:15.03963|y:94.92723|z:359.7433),Pos(x:-0.5786108|y:1.241059|z:1.354194)|Rot(x:41.554|y:94.77407|z:359.6686),Pos(x:-0.5614661|y:1.260483|z:1.352611)|Rot(x:65.41656|y:94.45184|z:359.404),Pos(x:-0.5371013|y:1.271673|z:1.350433)|Rot(x:65.41657|y:94.45168|z:359.4038),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:19.01292|y:90|z:0),Pos(x:-0.5759782|y:1.246319|z:1.328133)|Rot(x:50.91447|y:90|z:0),Pos(x:-0.5544621|y:1.263796|z:1.328133)|Rot(x:79.62588|y:90|z:0),Pos(x:-0.5266247|y:1.268892|z:1.328133)|Rot(x:79.6258|y:90.00031|z:0.0003034358),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:16.26805|y:87.04715|z:0.1551131),Pos(x:-0.5783936|y:1.236926|z:1.304766)|Rot(x:44.12971|y:87.14814|z:0.2074426),Pos(x:-0.5600781|y:1.255835|z:1.305774)|Rot(x:65.41113|y:53.03333|z:328.5603),Pos(x:-0.5359929|y:1.264994|z:1.307059)|Rot(x:65.41114|y:53.03331|z:328.5603),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:16.27488|y:85.07854|z:356.4782),Pos(x:-0.5768394|y:1.22152|z:1.282098)|Rot(x:44.1363|y:85.24674|z:356.5654),Pos(x:-0.5640115|y:1.234692|z:1.282059)|Rot(x:69.03998|y:97.29166|z:7.792145),Pos(x:-0.5460608|y:1.241497|z:1.282387)|Rot(x:69.04002|y:97.29152|z:7.792015),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-21 15:25:09,
M8_T,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:335.2076|y:225.5291|z:348.8039),Pos(x:-0.5804521|y:1.161107|z:1.372291)|Rot(x:341.2656|y:224.7971|z:358.3853),Pos(x:-0.5703412|y:1.207521|z:1.384434)|Rot(x:354.7652|y:226.8986|z:18.97267),Pos(x:-0.5622146|y:1.234361|z:1.379349)|Rot(x:354.7651|y:226.8987|z:18.97266),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:3.301467|y:94.97955|z:359.7516),Pos(x:-0.5880305|y:1.242586|z:1.35501)|Rot(x:18.89913|y:94.90897|z:359.7379),Pos(x:-0.5796643|y:1.267142|z:1.354172)|Rot(x:32.93702|y:94.83323|z:359.7046),Pos(x:-0.5651022|y:1.289718|z:1.352802)|Rot(x:32.93705|y:94.83315|z:359.7045),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:2.958778|y:90|z:0),Pos(x:-0.5904554|y:1.249129|z:1.328133)|Rot(x:11.75774|y:90|z:0),Pos(x:-0.5848069|y:1.276267|z:1.328133)|Rot(x:19.67678|y:90|z:0),Pos(x:-0.5752779|y:1.302915|z:1.328133)|Rot(x:19.67674|y:90.00005|z:1.450751E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:3.291609|y:87.01226|z:0.1491401),Pos(x:-0.588744|y:1.238713|z:1.304229)|Rot(x:12.61602|y:87.03701|z:0.152574),Pos(x:-0.5830014|y:1.264421|z:1.304597)|Rot(x:20.43107|y:72.54594|z:355),Pos(x:-0.573768|y:1.288506|z:1.305143)|Rot(x:20.43108|y:72.54596|z:355),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:3.298506|y:85.02043|z:356.4683),Pos(x:-0.5855752|y:1.223033|z:1.281341)|Rot(x:12.62285|y:85.06167|z:356.474),Pos(x:-0.5814824|y:1.240941|z:1.28056)|Rot(x:21.2111|y:89.53675|z:358.0839),Pos(x:-0.5745346|y:1.25883|z:1.279974)|Rot(x:21.21113|y:89.53671|z:358.0839),No,,,2024-10-21 15:25:39,
M8_T,0.1,0,0,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:338.3213|y:225.8912|z:355.3004),Pos(x:-0.5782654|y:1.16267|z:1.367388)|Rot(x:346.9852|y:226.1902|z:8.477296),Pos(x:-0.5653806|y:1.209919|z:1.369732)|Rot(x:4.769322|y:233.8052|z:38.0029),Pos(x:-0.5565251|y:1.232299|z:1.354468)|Rot(x:4.76931|y:233.8052|z:38.00289),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:11.22327|y:94.94466|z:359.7472),Pos(x:-0.5816367|y:1.241768|z:1.354455)|Rot(x:29.09951|y:94.85586|z:359.7162),Pos(x:-0.56907|y:1.264447|z:1.353258)|Rot(x:45.18805|y:94.74427|z:359.6482),Pos(x:-0.5500659|y:1.283406|z:1.351515)|Rot(x:45.1881|y:94.74419|z:359.6481),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:15.78337|y:90|z:0),Pos(x:-0.578818|y:1.247209|z:1.328133)|Rot(x:41.24313|y:90|z:0),Pos(x:-0.5605438|y:1.268052|z:1.328133)|Rot(x:64.15691|y:90|z:0),Pos(x:-0.535074|y:1.280388|z:1.328133)|Rot(x:64.15685|y:90.00009|z:8.226142E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:14.42679|y:87.04201|z:0.153746),Pos(x:-0.5798339|y:1.237322|z:1.304692)|Rot(x:38.06678|y:87.12029|z:0.1891163),Pos(x:-0.5636155|y:1.258062|z:1.305595)|Rot(x:56.80169|y:61.85434|z:338.6304),Pos(x:-0.5414535|y:1.271218|z:1.306789)|Rot(x:56.80167|y:61.85434|z:338.6304),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.43361|y:85.06997|z:356.476),Pos(x:-0.578055|y:1.221855|z:1.281993)|Rot(x:38.07343|y:85.20038|z:356.5349),Pos(x:-0.5666842|y:1.236303|z:1.281833)|Rot(x:59.3343|y:93.55273|z:3.701379),Pos(x:-0.5501584|y:1.246075|z:1.282048)|Rot(x:59.33434|y:93.55268|z:3.701333),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-21 15:26:09,
