Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
F2_3,24.0,32.26,9,9.68,1.0,2024-10-10 17:34:01,1.0,0.0
F2_3,32.0,28.84,9,9.67,0.9,2024-10-10 17:34:17,0.5,4.0
F2_3,24.0,27.86,9,9.62,1.1,2024-10-10 17:34:48,0.5,4.0
F2_3,32.0,31.28,9,9.09,1.3,2024-10-10 17:35:19,0.1,2.0
F2_3,32.0,31.28,9,9.01,0.9,2024-10-10 17:35:41,0.5,0.0
F2_3,32.0,26.88,9,10.0,1.0,2024-10-10 17:36:09,0.3,0.0
F2_3,24.0,24.44,9,9.75,1.1,2024-10-10 17:36:41,0.3,0.0
F2_3,40.0,37.63,9,9.6,1.2,2024-10-10 17:37:08,0.3,0.0
F2_3,24.0,28.84,9,9.67,0.6,2024-10-10 17:37:29,0.0,0.0
F2_3,40.0,37.15,9,9.37,1.4,2024-10-10 17:37:56,0.5,4.0
F2_3,40.0,39.59,9,9.49,1.3,2024-10-10 17:38:21,1.0,5.0
F2_3,40.0,,9,9.02,0.9,2024-10-10 17:38:44,0.3,3.0
F2_3,32.0,33.24,9,9.92,1.0,2024-10-10 17:39:16,1.0,5.0
F2_3,32.0,32.26,9,9.36,0.7,2024-10-10 17:39:36,0.0,0.0
F2_3,24.0,26.39,9,9.54,0.9,2024-10-10 17:40:15,1.0,5.0
F2_3,40.0,36.17,9,9.31,0.8,2024-10-10 17:40:42,0.5,0.0
F2_3,40.0,,9,9.54,0.7,2024-10-10 17:41:07,0.1,2.0
F2_3,24.0,29.33,9,9.47,0.7,2024-10-10 17:41:40,0.1,0.0
F2_3,24.0,22.48,9,9.61,0.8,2024-10-10 17:42:18,0.1,2.0
F2_3,32.0,30.3,9,9.1,0.7,2024-10-10 17:43:03,0.1,0.0
F2_3,40.0,40.08,9,9.32,0.6,2024-10-10 17:43:34,0.0,0.0
F2_3,32.0,33.24,9,9.09,0.7,2024-10-10 17:44:06,0.3,3.0
F2_3,40.0,40.57,9,9.87,0.6,2024-10-10 17:44:30,0.1,0.0
F2_3,32.0,31.28,9,9.61,0.8,2024-10-10 17:44:55,1.0,0.0
F2_3,40.0,40.57,9,9.94,0.7,2024-10-10 17:45:30,1.0,0.0
F2_3,24.0,29.33,9,9.29,0.6,2024-10-10 17:45:53,0.5,0.0
F2_3,24.0,23.46,9,9.61,0.9,2024-10-10 17:46:23,0.3,3.0
