Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M6_1,32.0,28.35,9,10.03,3,2024-10-16 16:14:15,0.1,2.0
M6_1,40.0,40.08,9,10.22,10,2024-10-16 16:14:36,1.0,5.0
M6_1,32.0,43.01,9,9.82,0,2024-10-16 16:14:58,0.0,0.0
M6_1,40.0,36.17,9,9.22,0,2024-10-16 16:15:17,0.0,0.0
M6_1,24.0,37.63,9,9.78,4,2024-10-16 16:15:45,0.1,2.0
M6_1,24.0,27.37,9,10.07,8,2024-10-16 16:16:09,0.3,3.0
M6_1,40.0,32.75,9,10.34,9.5,2024-10-16 16:16:37,0.5,4.0
M6_1,32.0,32.75,9,9.4,8,2024-10-16 16:17:07,0.5,4.0
M6_1,24.0,25.9,9,9.17,2,2024-10-16 16:17:31,0.1,0.0
M6_1,32.0,29.81,9,9.27,2,2024-10-16 16:18:14,0.1,0.0
M6_1,24.0,25.9,9,9.96,2,2024-10-16 16:18:33,0.3,0.0
M6_1,24.0,,9,9.54,10,2024-10-16 16:18:52,1.0,5.0
M6_1,24.0,,9,9.19,0,2024-10-16 16:19:11,0.0,0.0
M6_1,24.0,23.46,9,10.09,9,2024-10-16 16:19:38,0.5,4.0
M6_1,40.0,35.68,9,9.16,3,2024-10-16 16:20:01,0.1,2.0
M6_1,32.0,34.7,9,9.61,7,2024-10-16 16:20:33,1.0,0.0
M6_1,32.0,31.28,9,9.88,7,2024-10-16 16:21:02,0.3,3.0
M6_1,40.0,40.08,9,9.49,8,2024-10-16 16:21:27,0.3,3.0
M6_1,24.0,31.28,9,9.78,8,2024-10-16 16:21:48,1.0,0.0
M6_1,24.0,22.97,9,10.29,4,2024-10-16 16:22:10,0.5,0.0
M6_1,40.0,29.33,9,10.17,3,2024-10-16 16:22:36,0.3,0.0
M6_1,32.0,33.24,9,10.08,3.5,2024-10-16 16:23:00,0.5,0.0
M6_1,32.0,31.28,9,10.29,2,2024-10-16 16:23:31,0.3,0.0
M6_1,32.0,31.77,9,9.03,10,2024-10-16 16:23:56,1.0,5.0
M6_1,40.0,37.15,9,9.18,8,2024-10-16 16:24:34,1.0,0.0
M6_1,40.0,40.57,9,10.09,1,2024-10-16 16:24:59,0.1,0.0
M6_1,40.0,40.08,9,10.27,3,2024-10-16 16:25:35,0.5,0.0
