Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M7_1,40.0,36.17,9,9.29,15,2024-10-18 11:14:01,0.3,0.0
M7_1,24.0,29.81,9,9.48,50,2024-10-18 11:14:20,1.0,0.0
M7_1,40.0,28.35,9,10.01,40,2024-10-18 11:14:40,1.0,5.0
M7_1,40.0,,9,9.29,30,2024-10-18 11:15:02,0.5,0.0
M7_1,24.0,37.63,9,9.95,15,2024-10-18 11:15:23,0.3,0.0
M7_1,32.0,23.95,9,9.14,10,2024-10-18 11:15:42,0.1,0.0
M7_1,32.0,30.3,9,9.31,20,2024-10-18 11:16:03,0.1,2.0
M7_1,40.0,33.24,9,9.55,0,2024-10-18 11:16:19,0.0,0.0
M7_1,40.0,,9,9.56,45,2024-10-18 11:16:40,1.0,0.0
M7_1,32.0,38.61,9,10.44,15,2024-10-18 11:17:02,0.3,0.0
M7_1,32.0,31.28,9,9.18,0,2024-10-18 11:17:20,0.0,0.0
M7_1,32.0,31.77,9,9.82,45,2024-10-18 11:17:40,1.0,0.0
M7_1,32.0,,9,9.95,20,2024-10-18 11:18:02,0.5,0.0
M7_1,40.0,33.24,9,9.29,40,2024-10-18 11:18:20,0.5,4.0
M7_1,24.0,40.08,9,9.14,45,2024-10-18 11:18:42,0.5,4.0
M7_1,24.0,23.46,9,9.87,50,2024-10-18 11:19:02,1.0,5.0
M7_1,32.0,25.42,9,10.17,40,2024-10-18 11:19:25,0.5,4.0
M7_1,24.0,29.81,9,9.1,10,2024-10-18 11:19:44,0.1,2.0
M7_1,40.0,24.44,9,9.67,35,2024-10-18 11:20:05,0.3,3.0
M7_1,24.0,38.12,9,9.84,0,2024-10-18 11:20:23,0.0,0.0
M7_1,40.0,24.93,9,9.29,10,2024-10-18 11:20:42,0.1,2.0
M7_1,40.0,38.61,9,10.42,5,2024-10-18 11:21:03,0.1,0.0
M7_1,32.0,38.61,9,10.16,50,2024-10-18 11:21:22,1.0,5.0
M7_1,24.0,31.28,9,9.24,30,2024-10-18 11:21:42,0.3,3.0
M7_1,24.0,23.46,9,10.36,15,2024-10-18 11:22:04,0.5,0.0
M7_1,24.0,23.95,9,9.7,5,2024-10-18 11:22:24,0.1,0.0
M7_1,32.0,25.42,9,10.47,35,2024-10-18 11:22:51,0.3,3.0
