Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
F1_1,24.0,24.44,9,9.28,40,2024-10-10 15:04:47,0.3,0.0
F1_1,24.0,23.95,9,9.69,65,2024-10-10 15:05:10,0.3,3.0
F1_1,40.0,38.12,9,9.94,55,2024-10-10 15:05:32,0.3,0.0
F1_1,40.0,,9,9.28,67,2024-10-10 15:05:51,1.0,0.0
F1_1,32.0,34.7,9,9.68,52,2024-10-10 15:06:15,0.5,0.0
F1_1,40.0,38.61,9,9.38,47,2024-10-10 15:06:44,0.1,0.0
F1_1,32.0,32.75,9,9.17,67,2024-10-10 15:07:03,0.3,3.0
F1_1,32.0,31.28,9,9.63,47,2024-10-10 15:07:26,0.1,2.0
F1_1,32.0,31.77,9,9.49,55,2024-10-10 15:07:54,0.1,0.0
F1_1,32.0,33.24,9,9.28,64,2024-10-10 15:08:24,1.0,0.0
F1_1,40.0,39.59,9,9.99,75,2024-10-10 15:08:43,0.3,3.0
F1_1,24.0,32.75,9,9.79,12,2024-10-10 15:09:07,0.0,0.0
F1_1,24.0,21.99,9,9.95,67,2024-10-10 15:09:30,0.5,4.0
F1_1,32.0,30.79,9,9.07,54,2024-10-10 15:09:56,0.3,0.0
F1_1,40.0,38.12,9,9.1,10,2024-10-10 15:10:17,0.0,0.0
F1_1,32.0,32.75,9,9.68,68,2024-10-10 15:10:42,1.0,5.0
F1_1,40.0,40.57,9,9.87,54,2024-10-10 15:11:03,0.5,0.0
F1_1,40.0,,9,9.89,62,2024-10-10 15:11:29,0.5,4.0
F1_1,32.0,32.75,9,9.59,65,2024-10-10 15:11:50,0.5,4.0
F1_1,24.0,25.42,9,9.34,37,2024-10-10 15:12:12,0.1,0.0
F1_1,24.0,23.95,9,9.97,62,2024-10-10 15:12:36,1.0,5.0
F1_1,24.0,23.46,9,9.07,55,2024-10-10 15:13:04,0.5,0.0
F1_1,24.0,26.88,9,9.52,63,2024-10-10 15:13:21,1.0,0.0
F1_1,40.0,29.33,9,9.05,66,2024-10-10 15:13:41,0.1,2.0
F1_1,24.0,31.77,9,9.2,59,2024-10-10 15:14:10,0.1,2.0
F1_1,32.0,29.33,9,10.0,10,2024-10-10 15:14:31,0.0,0.0
F1_1,40.0,39.59,9,9.2,69,2024-10-10 15:14:51,1.0,5.0
