Name,Setpoint,Achieved Temperature,Time Interval (s),Time to Reach (s),Feedback,Time Stamp,Maxforce,Rendering
M1_2,24.0,27.37,9,10.43,75,2024-10-11 19:12:21,1.0,5.0
M1_2,32.0,27.37,9,9.56,60,2024-10-11 19:12:39,0.5,4.0
M1_2,32.0,30.3,9,9.8,0,2024-10-11 19:12:56,0.0,0.0
M1_2,40.0,31.28,9,10.16,35,2024-10-11 19:13:20,0.3,0.0
M1_2,32.0,34.7,9,9.08,65,2024-10-11 19:13:39,1.0,5.0
M1_2,40.0,33.24,9,10.13,10,2024-10-11 19:14:00,0.1,0.0
M1_2,24.0,34.21,9,9.56,15,2024-10-11 19:14:20,0.3,0.0
M1_2,32.0,24.44,9,9.08,60,2024-10-11 19:14:43,0.3,3.0
M1_2,40.0,35.19,9,9.46,45,2024-10-11 19:15:08,0.5,0.0
M1_2,40.0,,9,9.69,65,2024-10-11 19:15:30,0.5,4.0
M1_2,24.0,38.61,9,10.39,45,2024-10-11 19:15:51,0.5,0.0
M1_2,40.0,25.42,9,9.31,75,2024-10-11 19:16:10,1.0,5.0
M1_2,32.0,39.1,9,9.08,20,2024-10-11 19:16:29,0.1,2.0
M1_2,24.0,30.79,9,9.91,55,2024-10-11 19:17:07,1.0,0.0
M1_2,40.0,38.12,9,9.65,0,2024-10-11 19:17:25,0.0,0.0
M1_2,24.0,37.63,9,9.85,5,2024-10-11 19:17:44,0.1,0.0
M1_2,24.0,23.95,9,9.22,80,2024-10-11 19:18:02,0.5,4.0
M1_2,32.0,25.42,9,10.24,60,2024-10-11 19:18:29,1.0,0.0
M1_2,40.0,39.1,9,9.28,55,2024-10-11 19:18:51,0.3,3.0
M1_2,40.0,,9,10.23,65,2024-10-11 19:19:10,1.0,0.0
M1_2,32.0,39.59,9,10.15,5,2024-10-11 19:19:29,0.1,0.0
M1_2,32.0,31.77,9,9.83,15,2024-10-11 19:19:48,0.5,0.0
M1_2,24.0,31.28,9,10.28,65,2024-10-11 19:20:09,0.3,3.0
M1_2,24.0,24.44,9,10.2,10,2024-10-11 19:20:32,0.1,2.0
M1_2,40.0,31.28,9,10.09,30,2024-10-11 19:20:52,0.1,2.0
M1_2,24.0,39.1,9,9.42,0,2024-10-11 19:21:09,0.0,0.0
M1_2,32.0,26.39,9,10.4,20,2024-10-11 19:21:32,0.3,0.0
