name,perception,maxforce,result,rendering,timestamp
minju_E,2,0.1,0.3,0.04,2024-08-27 09:36:20
minju_E,2,0.1,0.1,0.04,2024-08-27 09:36:30
minju_E,3,0.3,0.3,0.04,2024-08-27 09:36:51
minju_E,1,0.0,0.0,0.04,2024-08-27 09:37:11
minju_E,2,0.1,0.1,0.04,2024-08-27 09:37:25
minju_E,4,0.6,0.6,0.04,2024-08-27 09:37:57
minju_E,4,0.6,0.3,0.04,2024-08-27 09:38:08
minju_E,5,1.0,0.1,0.04,2024-08-27 09:38:18
minju_E,1,0.0,0.0,0.04,2024-08-27 09:38:22
minju_E,1,0.0,0.0,0.04,2024-08-27 09:38:27
minju_E,3,0.3,0.6,0.04,2024-08-27 09:38:44
minju_E,2,0.1,1.0,0.04,2024-08-27 09:39:01
minju_E,4,0.6,0.3,0.04,2024-08-27 09:39:10
minju_E,4,0.6,0.1,0.04,2024-08-27 09:39:19
minju_E,1,0.0,0.0,0.04,2024-08-27 09:39:23
minju_E,3,0.3,1.0,0.04,2024-08-27 09:39:32
minju_E,2,0.1,1.0,0.04,2024-08-27 09:39:40
minju_E,2,0.1,0.1,0.04,2024-08-27 09:39:56
minju_E,2,0.1,0.1,0.04,2024-08-27 09:40:05
minju_E,3,0.3,0.1,0.04,2024-08-27 09:40:16
minju_E,3,0.3,1.0,0.04,2024-08-27 09:40:27
minju_E,4,0.6,0.6,0.04,2024-08-27 09:40:34
minju_E,1,0.0,0.0,0.04,2024-08-27 09:40:39
minju_E,3,0.3,0.6,0.04,2024-08-27 09:40:44
minju_E,2,0.1,0.3,0.04,2024-08-27 09:40:50
minju_E,1,0.0,0.0,0.04,2024-08-27 09:40:54
minju_E,1,0.0,0.0,0.04,2024-08-27 09:41:01
minju_E,2,0.1,1.0,0.04,2024-08-27 09:41:07
minju_E,5,1.0,0.6,0.04,2024-08-27 09:41:29
minju_E,3,0.3,0.6,0.04,2024-08-27 09:41:36
minju_E,4,0.6,0.1,0.04,2024-08-27 09:41:42
minju_E,3,0.3,1.0,0.04,2024-08-27 09:41:50
minju_E,5,1.0,0.6,0.04,2024-08-27 09:41:55
minju_E,5,1.0,1.0,0.04,2024-08-27 09:42:02
minju_E,3,0.3,0.1,0.04,2024-08-27 09:42:06
minju_E,1,0.0,0.0,0.04,2024-08-27 09:42:10
minju_E,4,0.6,0.3,0.04,2024-08-27 09:42:15
minju_E,2,0.1,0.1,0.04,2024-08-27 09:42:22
minju_E,4,0.6,0.6,0.04,2024-08-27 09:42:27
minju_E,5,1.0,0.6,0.04,2024-08-27 09:42:32
minju_E,1,0.0,0.0,0.04,2024-08-27 09:42:36
minju_E,2,0.1,0.3,0.04,2024-08-27 09:42:41
minju_E,1,0.0,0.0,0.04,2024-08-27 09:42:45
minju_E,5,1.0,0.3,0.04,2024-08-27 09:42:51
minju_E,3,0.3,1.0,0.04,2024-08-27 09:42:55
minju_E,3,0.3,0.3,0.04,2024-08-27 09:43:01
minju_E,4,0.6,0.3,0.04,2024-08-27 09:43:08
minju_E,5,1.0,0.6,0.04,2024-08-27 09:43:14
minju_E,4,0.6,1.0,0.04,2024-08-27 09:43:21
minju_E,5,1.0,1.0,0.04,2024-08-27 09:43:31
