name,perception,maxforce,result,rendering,Sequence,timestamp
jaeho_S_2,3,0.3,0.3,0.04,1,2024-09-28 10:13:05
jaeho_S_2,4,0.5,0.5,0.04,1,2024-09-28 10:13:15
jaeho_S_2,3,0.3,0.3,0.04,1,2024-09-28 10:13:25
jaeho_S_2,5,1.0,1.0,0.04,1,2024-09-28 10:13:29
jaeho_S_2,5,1.0,1.0,0.04,1,2024-09-28 10:13:38
jaeho_S_2,2,0.1,0.1,0.04,1,2024-09-28 10:13:43
jaeho_S_2,2,0.1,0.1,0.04,1,2024-09-28 10:13:47
jaeho_S_2,4,0.5,0.5,0.04,1,2024-09-28 10:13:53
jaeho_S_2,5,1.0,1.0,0.04,1,2024-09-28 10:14:00
jaeho_S_2,1,0.0,0.0,0.04,1,2024-09-28 10:14:04
jaeho_S_2,3,0.3,0.3,0.04,1,2024-09-28 10:14:15
jaeho_S_2,3,0.3,0.3,0.04,1,2024-09-28 10:14:26
jaeho_S_2,2,0.1,0.1,0.04,1,2024-09-28 10:14:31
jaeho_S_2,5,1.0,1.0,0.04,1,2024-09-28 10:14:38
jaeho_S_2,4,0.5,0.5,0.04,1,2024-09-28 10:14:44
jaeho_S_2,2,0.1,0.1,0.04,1,2024-09-28 10:14:50
jaeho_S_2,1,0.0,0.0,0.04,1,2024-09-28 10:14:53
jaeho_S_2,3,0.3,0.3,0.04,1,2024-09-28 10:15:02
jaeho_S_2,1,0.0,0.0,0.04,1,2024-09-28 10:15:06
jaeho_S_2,4,0.5,0.5,0.04,1,2024-09-28 10:15:12
jaeho_S_2,1,0.0,0.0,0.04,1,2024-09-28 10:15:16
jaeho_S_2,4,0.5,0.5,0.04,1,2024-09-28 10:15:33
jaeho_S_2,1,0.0,0.0,0.04,1,2024-09-28 10:15:37
jaeho_S_2,5,1.0,1.0,0.04,1,2024-09-28 10:15:42
jaeho_S_2,2,0.1,0.1,0.04,1,2024-09-28 10:15:49
