name,perception,maxforce,result,rendering,timestamp,Sequence
taeyoon_I_1,4,0.5,0.5,0.0,2024-09-13 14:31:57,2
taeyoon_I_1,3,0.3,0.3,0.0,2024-09-13 14:32:03,2
taeyoon_I_1,3,0.3,0.3,0.0,2024-09-13 14:32:27,2
taeyoon_I_1,4,0.5,0.3,0.0,2024-09-13 14:32:33,2
taeyoon_I_1,5,1.0,1.0,0.0,2024-09-13 14:32:38,2
taeyoon_I_1,2,0.1,0.1,0.0,2024-09-13 14:32:43,2
taeyoon_I_1,4,0.5,1.0,0.0,2024-09-13 14:32:51,2
taeyoon_I_1,5,1.0,0.5,0.0,2024-09-13 14:33:03,2
taeyoon_I_1,1,0.0,0.0,0.0,2024-09-13 14:33:07,2
taeyoon_I_1,1,0.0,0.0,0.0,2024-09-13 14:33:11,2
taeyoon_I_1,3,0.3,0.3,0.0,2024-09-13 14:33:17,2
taeyoon_I_1,4,0.5,1.0,0.0,2024-09-13 14:33:23,2
taeyoon_I_1,2,0.1,0.1,0.0,2024-09-13 14:33:29,2
taeyoon_I_1,4,0.5,0.5,0.0,2024-09-13 14:33:37,2
taeyoon_I_1,5,1.0,0.5,0.0,2024-09-13 14:33:41,2
taeyoon_I_1,1,0.0,0.0,0.0,2024-09-13 14:33:45,2
taeyoon_I_1,3,0.3,0.3,0.0,2024-09-13 14:33:51,2
taeyoon_I_1,1,0.0,0.0,0.0,2024-09-13 14:33:55,2
taeyoon_I_1,2,0.1,0.1,0.0,2024-09-13 14:33:59,2
taeyoon_I_1,5,1.0,1.0,0.0,2024-09-13 14:34:05,2
taeyoon_I_1,5,1.0,1.0,0.0,2024-09-13 14:34:10,2
taeyoon_I_1,1,0.0,0.0,0.0,2024-09-13 14:34:13,2
taeyoon_I_1,2,0.1,0.1,0.0,2024-09-13 14:34:18,2
taeyoon_I_1,4,0.5,0.5,0.0,2024-09-13 14:34:26,2
taeyoon_I_1,2,0.1,0.1,0.0,2024-09-13 14:34:30,2
