name,perception,maxforce,timestamp,result,rendering,Sequence
M5_I_1,3,0.3,2024-10-05 21:53:47,0.3,0.06,2
M5_I_1,1,0.0,2024-10-05 21:53:53,0.0,0.06,2
M5_I_1,4,0.5,2024-10-05 21:54:02,0.5,0.06,2
M5_I_1,4,0.5,2024-10-05 21:54:08,0.5,0.06,2
M5_I_1,2,0.1,2024-10-05 21:54:13,0.1,0.06,2
M5_I_1,3,0.3,2024-10-05 21:54:20,0.3,0.06,2
M5_I_1,1,0.0,2024-10-05 21:54:24,0.0,0.06,2
M5_I_1,1,0.0,2024-10-05 21:54:28,0.0,0.06,2
M5_I_1,4,0.5,2024-10-05 21:54:34,0.5,0.06,2
M5_I_1,5,1.0,2024-10-05 21:54:38,1.0,0.06,2
M5_I_1,2,0.1,2024-10-05 21:54:41,0.1,0.06,2
M5_I_1,5,1.0,2024-10-05 21:54:46,1.0,0.06,2
M5_I_1,3,0.3,2024-10-05 21:54:52,0.5,0.06,2
M5_I_1,5,1.0,2024-10-05 21:54:56,1.0,0.06,2
M5_I_1,4,0.5,2024-10-05 21:55:12,0.5,0.06,2
M5_I_1,3,0.3,2024-10-05 21:55:17,0.3,0.06,2
M5_I_1,2,0.1,2024-10-05 21:55:26,0.3,0.06,2
M5_I_1,3,0.3,2024-10-05 21:55:32,0.3,0.06,2
M5_I_1,2,0.1,2024-10-05 21:55:38,0.1,0.06,2
M5_I_1,5,1.0,2024-10-05 21:55:45,1.0,0.06,2
M5_I_1,2,0.1,2024-10-05 21:55:50,0.1,0.06,2
M5_I_1,1,0.0,2024-10-05 21:55:54,0.0,0.06,2
M5_I_1,5,1.0,2024-10-05 21:56:11,1.0,0.06,2
M5_I_1,1,0.0,2024-10-05 21:56:14,0.0,0.06,2
M5_I_1,3,0.3,2024-10-05 21:56:43,0.1,0.06,2
