name,perception,maxforce,timestamp,result,rendering,Sequence
M4_S_2,1,0.0,2024-10-04 10:38:14,0.0,0.06,2
M4_S_2,4,0.5,2024-10-04 10:38:22,0.5,0.06,2
M4_S_2,5,1.0,2024-10-04 10:38:27,1.0,0.06,2
M4_S_2,2,0.1,2024-10-04 10:38:33,0.1,0.06,2
M4_S_2,3,0.3,2024-10-04 10:38:38,0.3,0.06,2
M4_S_2,2,0.1,2024-10-04 10:38:42,0.1,0.06,2
M4_S_2,3,0.3,2024-10-04 10:38:49,0.3,0.06,2
M4_S_2,4,0.5,2024-10-04 10:38:57,0.5,0.06,2
M4_S_2,5,1.0,2024-10-04 10:39:01,1.0,0.06,2
M4_S_2,4,0.5,2024-10-04 10:39:08,0.5,0.06,2
M4_S_2,2,0.1,2024-10-04 10:39:14,0.1,0.06,2
M4_S_2,4,0.5,2024-10-04 10:39:22,0.5,0.06,2
M4_S_2,4,0.5,2024-10-04 10:39:28,0.5,0.06,2
M4_S_2,2,0.1,2024-10-04 10:39:33,0.1,0.06,2
M4_S_2,5,1.0,2024-10-04 10:39:38,1.0,0.06,2
M4_S_2,2,0.1,2024-10-04 10:39:45,0.1,0.06,2
M4_S_2,1,0.0,2024-10-04 10:39:48,0.0,0.06,2
M4_S_2,5,1.0,2024-10-04 10:39:53,1.0,0.06,2
M4_S_2,3,0.3,2024-10-04 10:39:59,0.3,0.06,2
M4_S_2,1,0.0,2024-10-04 10:40:03,0.0,0.06,2
M4_S_2,1,0.0,2024-10-04 10:40:07,0.0,0.06,2
M4_S_2,1,0.0,2024-10-04 10:40:11,0.0,0.06,2
M4_S_2,3,0.3,2024-10-04 10:40:24,0.3,0.06,2
M4_S_2,5,1.0,2024-10-04 10:40:28,1.0,0.06,2
M4_S_2,3,0.3,2024-10-04 10:40:34,0.3,0.06,2
