name,perception,maxforce,timestamp,result,rendering,Sequence
M3_S_2,2,0.1,2024-10-03 21:10:32,0.1,0.06,2
M3_S_2,1,0.0,2024-10-03 21:10:36,0.0,0.06,2
M3_S_2,4,0.5,2024-10-03 21:11:07,0.5,0.06,2
M3_S_2,3,0.3,2024-10-03 21:11:24,1.0,0.06,2
M3_S_2,1,0.0,2024-10-03 21:11:29,0.0,0.06,2
M3_S_2,2,0.1,2024-10-03 21:11:36,0.1,0.06,2
M3_S_2,5,1.0,2024-10-03 21:11:55,1.0,0.06,2
M3_S_2,2,0.1,2024-10-03 21:12:02,0.1,0.06,2
M3_S_2,4,0.5,2024-10-03 21:12:13,0.5,0.06,2
M3_S_2,5,1.0,2024-10-03 21:12:18,0.5,0.06,2
M3_S_2,1,0.0,2024-10-03 21:12:26,0.0,0.06,2
M3_S_2,5,1.0,2024-10-03 21:12:47,1.0,0.06,2
M3_S_2,5,1.0,2024-10-03 21:12:57,0.5,0.06,2
M3_S_2,4,0.5,2024-10-03 21:13:04,0.3,0.06,2
M3_S_2,4,0.5,2024-10-03 21:13:11,0.3,0.06,2
M3_S_2,4,0.5,2024-10-03 21:13:20,0.3,0.06,2
M3_S_2,3,0.3,2024-10-03 21:13:26,0.1,0.06,2
M3_S_2,4,0.5,2024-10-03 21:13:32,0.3,0.06,2
M3_S_2,5,1.0,2024-10-03 21:13:43,0.3,0.06,2
M3_S_2,1,0.0,2024-10-03 21:13:49,0.0,0.06,2
M3_S_2,1,0.0,2024-10-03 21:13:55,0.0,0.06,2
M3_S_2,2,0.1,2024-10-03 21:14:01,0.1,0.06,2
M3_S_2,5,1.0,2024-10-03 21:14:10,1.0,0.06,2
M3_S_2,5,1.0,2024-10-03 21:14:30,1.0,0.06,2
M3_S_2,4,0.5,2024-10-03 21:14:39,0.5,0.06,2
