name,perception,maxforce,timestamp,result,rendering,Sequence
M4_I_1,2,0.1,2024-10-04 10:09:48,0.1,0.06,1
M4_I_1,1,0.0,2024-10-04 10:09:53,0.0,0.06,1
M4_I_1,2,0.1,2024-10-04 10:09:59,0.1,0.06,1
M4_I_1,5,1.0,2024-10-04 10:10:06,1.0,0.06,1
M4_I_1,3,0.3,2024-10-04 10:10:12,0.3,0.06,1
M4_I_1,1,0.0,2024-10-04 10:10:16,0.0,0.06,1
M4_I_1,1,0.0,2024-10-04 10:10:20,0.0,0.06,1
M4_I_1,2,0.1,2024-10-04 10:10:26,0.1,0.06,1
M4_I_1,4,0.5,2024-10-04 10:10:32,0.5,0.06,1
M4_I_1,3,0.3,2024-10-04 10:10:47,0.5,0.06,1
M4_I_1,1,0.0,2024-10-04 10:10:51,0.0,0.06,1
M4_I_1,3,0.3,2024-10-04 10:10:57,0.3,0.06,1
M4_I_1,5,1.0,2024-10-04 10:11:04,1.0,0.06,1
M4_I_1,5,1.0,2024-10-04 10:11:09,1.0,0.06,1
M4_I_1,4,0.5,2024-10-04 10:11:15,0.5,0.06,1
M4_I_1,3,0.3,2024-10-04 10:11:20,0.3,0.06,1
M4_I_1,2,0.1,2024-10-04 10:11:25,0.1,0.06,1
M4_I_1,2,0.1,2024-10-04 10:11:30,0.3,0.06,1
M4_I_1,4,0.5,2024-10-04 10:11:40,0.5,0.06,1
M4_I_1,5,1.0,2024-10-04 10:11:45,1.0,0.06,1
M4_I_1,5,1.0,2024-10-04 10:11:52,1.0,0.06,1
M4_I_1,1,0.0,2024-10-04 10:11:56,0.0,0.06,1
M4_I_1,4,0.5,2024-10-04 10:12:03,0.3,0.06,1
M4_I_1,4,0.5,2024-10-04 10:12:08,0.5,0.06,1
M4_I_1,2,0.1,2024-10-04 10:12:13,0.1,0.06,1
