name,perception,maxforce,timestamp,result,rendering,Sequence
F2_S_1,1,0.0,2024-10-03 16:08:45,0.0,0.06,1
F2_S_1,1,0.0,2024-10-03 16:08:50,0.0,0.06,1
F2_S_1,2,0.1,2024-10-03 16:08:54,0.1,0.06,1
F2_S_1,4,0.5,2024-10-03 16:08:59,0.5,0.06,1
F2_S_1,5,1.0,2024-10-03 16:09:06,0.3,0.06,1
F2_S_1,4,0.5,2024-10-03 16:09:18,1.0,0.06,1
F2_S_1,1,0.0,2024-10-03 16:09:21,0.0,0.06,1
F2_S_1,2,0.1,2024-10-03 16:09:25,0.1,0.06,1
F2_S_1,2,0.1,2024-10-03 16:09:29,0.1,0.06,1
F2_S_1,5,1.0,2024-10-03 16:09:33,1.0,0.06,1
F2_S_1,4,0.5,2024-10-03 16:09:43,0.5,0.06,1
F2_S_1,2,0.1,2024-10-03 16:09:48,0.1,0.06,1
F2_S_1,1,0.0,2024-10-03 16:09:51,0.0,0.06,1
F2_S_1,2,0.1,2024-10-03 16:09:55,0.1,0.06,1
F2_S_1,3,0.3,2024-10-03 16:10:00,0.3,0.06,1
F2_S_1,5,1.0,2024-10-03 16:10:04,1.0,0.06,1
F2_S_1,4,0.5,2024-10-03 16:10:09,0.3,0.06,1
F2_S_1,4,0.5,2024-10-03 16:10:15,0.5,0.06,1
F2_S_1,5,1.0,2024-10-03 16:10:21,1.0,0.06,1
F2_S_1,5,1.0,2024-10-03 16:10:29,0.3,0.06,1
F2_S_1,4,0.5,2024-10-03 16:10:39,0.5,0.06,1
F2_S_1,1,0.0,2024-10-03 16:10:43,0.0,0.06,1
F2_S_1,2,0.1,2024-10-03 16:10:48,0.3,0.06,1
F2_S_1,5,1.0,2024-10-03 16:10:57,1.0,0.06,1
F2_S_1,3,0.3,2024-10-03 16:11:07,0.5,0.06,1
