Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type,using
F3_1,40.0,0.6333333333333333,2024-10-10 19:24:46,0.5,0.0,0.0,Impedence,1
F3_1,32.0,0.7833333333333333,2024-10-10 19:25:15,0.5,0.0,29.0,Impedence,1
F3_1,40.0,0.6333333333333333,2024-10-10 19:25:51,1.0,0.0,36.0,Impedence,1
F3_1,40.0,0.5166666666666667,2024-10-10 19:26:39,0.1,0.0,26.0,Impedence,1
F3_1,32.0,0.9333333333333332,2024-10-10 19:27:02,1.0,0.0,23.0,Impedence,1
F3_1,32.0,0.2666666666666666,2024-10-10 19:28:41,0.1,0.0,34.0,Impedence,1
F3_1,24.0,0.3999999999999999,2024-10-10 19:30:01,0.3,0.0,30.0,Impedence,1
F3_1,24.0,0.45,2024-10-10 19:31:54,0.5,0.0,46.0,Impedence,1
F3_1,24.0,0.6333333333333333,2024-10-10 19:33:01,1.0,0.0,29.0,Impedence,1
F3_1,32.0,0.3999999999999999,2024-10-10 19:34:18,0.3,0.0,21.0,Impedence,1
F3_1,40.0,0.4666666666666666,2024-10-10 19:34:39,0.3,0.0,21.0,Impedence,1
F3_1,40.0,0.0,2024-10-10 19:34:58,0.0,0.0,19.0,"Impedence, Stiffness",1
F3_1,24.0,0.0,2024-10-10 19:35:42,0.0,0.0,17.0,"Impedence, Stiffness",1
F3_1,32.0,0.0,2024-10-10 19:36:03,0.0,0.0,21.0,"Impedence, Stiffness",1
F3_1,24.0,0.2166666666666666,2024-10-10 19:36:26,0.1,0.0,23.0,Impedence,1
F3_2,24.0,0.396551724137931,2024-10-10 19:39:17,0.5,0.0,33.0,Impedence,1
F3_2,24.0,0.2241379310344827,2024-10-10 19:39:43,0.1,0.0,26.0,Impedence,1
F3_2,32.0,0.5689655172413793,2024-10-10 19:40:37,0.5,0.0,28.0,Impedence,1
F3_2,24.0,0.0,2024-10-10 19:40:58,0.0,0.0,21.0,"Impedence, Stiffness",1
F3_2,32.0,0.8275862068965517,2024-10-10 19:41:25,1.0,0.0,27.0,Impedence,1
F3_2,24.0,0.810344827586207,2024-10-10 19:41:57,1.0,0.0,32.0,Impedence,1
F3_2,40.0,0.396551724137931,2024-10-10 19:42:48,0.1,0.0,24.0,Impedence,1
F3_2,40.0,0.0,2024-10-10 19:43:06,0.0,0.0,18.0,"Impedence, Stiffness",1
F3_2,32.0,0.4827586206896551,2024-10-10 19:44:39,0.1,0.0,36.0,Impedence,1
F3_2,40.0,0.7413793103448276,2024-10-10 19:45:54,1.0,0.0,44.0,Impedence,1
F3_2,32.0,0.3448275862068966,2024-10-10 19:46:24,0.3,0.0,30.0,Impedence,1
F3_2,40.0,0.4310344827586207,2024-10-10 19:47:22,0.3,0.0,36.0,Impedence,1
F3_2,24.0,0.5689655172413793,2024-10-10 19:47:46,0.3,0.0,24.0,Impedence,1
F3_2,32.0,0.0,2024-10-10 19:50:11,0.0,0.0,18.0,"Impedence, Stiffness",1
F3_2,40.0,0.4827586206896551,2024-10-10 19:50:37,0.5,0.0,26.0,Impedence,1
F3_3,24.0,0.0,2024-10-10 19:53:35,0.0,0.0,17.0,"Impedence, Stiffness",1
F3_3,32.0,0.0,2024-10-10 19:53:53,0.0,0.0,18.0,"Impedence, Stiffness",1
F3_3,32.0,0.6206896551724138,2024-10-10 19:54:16,0.5,0.0,23.0,Impedence,1
F3_3,32.0,0.2241379310344827,2024-10-10 19:56:05,0.1,0.0,22.0,Impedence,1
F3_3,32.0,0.2586206896551724,2024-10-10 19:57:22,0.3,0.0,28.0,Impedence,1
F3_3,32.0,0.7068965517241379,2024-10-10 19:58:25,1.0,0.0,28.0,Impedence,1
F3_3,40.0,0.7586206896551725,2024-10-10 19:59:00,1.0,0.0,35.0,Impedence,1
F3_3,40.0,0.0,2024-10-10 19:59:18,0.0,0.0,18.0,"Impedence, Stiffness",1
F3_3,24.0,0.6551724137931034,2024-10-10 20:00:01,1.0,0.0,43.0,Impedence,1
F3_3,40.0,0.2758620689655172,2024-10-10 20:00:51,0.1,0.0,22.0,Impedence,1
F3_3,24.0,0.4137931034482758,2024-10-10 20:01:15,0.3,0.0,24.0,Impedence,1
F3_3,24.0,0.396551724137931,2024-10-10 20:02:13,0.5,0.0,32.0,Impedence,1
F3_3,40.0,0.25,2024-10-10 20:03:14,0.5,0.0,26.0,Impedence,1
F3_3,40.0,0.1896551724137931,2024-10-10 20:03:41,0.3,0.0,27.0,Impedence,1
F3_3,24.0,0.1551724137931034,2024-10-10 20:05:21,0.1,0.0,28.0,Impedence,1
M1_1,32.0,0.4705882352941176,2024-10-11 19:01:52,1.0,0.0,24.0,Impedence,1
M1_1,40.0,0.6470588235294118,2024-10-11 19:02:16,1.0,0.0,24.0,Impedence,1
M1_1,32.0,0.0,2024-10-11 19:02:56,0.0,0.0,21.0,"Impedence, Stiffness",1
M1_1,32.0,0.3529411764705882,2024-10-11 19:03:20,0.3,0.0,24.0,Impedence,1
M1_1,40.0,0.5294117647058824,2024-10-11 19:03:44,0.5,0.0,24.0,Impedence,1
M1_1,32.0,0.3529411764705882,2024-10-11 19:04:08,0.5,0.0,24.0,Impedence,1
M1_1,40.0,0.1176470588235294,2024-10-11 19:04:50,0.1,0.0,19.0,Impedence,1
M1_1,24.0,0.1764705882352941,2024-10-11 19:05:18,0.3,0.0,28.0,Impedence,1
M1_1,40.0,0.2941176470588235,2024-10-11 19:07:06,0.3,0.0,39.0,Impedence,1
M1_1,32.0,0.1176470588235294,2024-10-11 19:08:01,0.1,0.0,26.0,Impedence,1
M1_1,24.0,0.3529411764705882,2024-10-11 19:08:25,0.5,0.0,24.0,Impedence,1
M1_1,40.0,0.0,2024-10-11 19:09:13,0.0,0.0,20.0,"Impedence, Stiffness",1
M1_1,24.0,0.8235294117647058,2024-10-11 19:09:56,1.0,0.0,21.0,Impedence,1
M1_1,24.0,0.0,2024-10-11 19:10:38,0.0,0.0,19.0,"Impedence, Stiffness",1
M1_1,24.0,0.2352941176470588,2024-10-11 19:11:22,0.1,0.0,22.0,Impedence,1
M1_2,32.0,0.0,2024-10-11 19:12:56,0.0,0.0,17.0,"Impedence, Stiffness",1
M1_2,40.0,0.4375,2024-10-11 19:13:20,0.3,0.0,24.0,Impedence,1
M1_2,40.0,0.125,2024-10-11 19:14:00,0.1,0.0,21.0,Impedence,1
M1_2,24.0,0.1875,2024-10-11 19:14:20,0.3,0.0,20.0,Impedence,1
M1_2,40.0,0.5625,2024-10-11 19:15:08,0.5,0.0,25.0,Impedence,1
M1_2,24.0,0.5625,2024-10-11 19:15:51,0.5,0.0,21.0,Impedence,1
M1_2,24.0,0.6875,2024-10-11 19:17:07,1.0,0.0,38.0,Impedence,1
M1_2,40.0,0.0,2024-10-11 19:17:25,0.0,0.0,18.0,"Impedence, Stiffness",1
M1_2,24.0,0.0625,2024-10-11 19:17:44,0.1,0.0,19.0,Impedence,1
M1_2,32.0,0.75,2024-10-11 19:18:29,1.0,0.0,27.0,Impedence,1
M1_2,40.0,0.8125,2024-10-11 19:19:10,1.0,0.0,19.0,Impedence,1
M1_2,32.0,0.0625,2024-10-11 19:19:29,0.1,0.0,19.0,Impedence,1
M1_2,32.0,0.1875,2024-10-11 19:19:48,0.5,0.0,19.0,Impedence,1
M1_2,24.0,0.0,2024-10-11 19:21:09,0.0,0.0,17.0,"Impedence, Stiffness",1
M1_2,32.0,0.25,2024-10-11 19:21:32,0.3,0.0,23.0,Impedence,1
M1_3,24.0,0.0666666666666666,2024-10-11 19:22:33,0.3,0.0,17.0,Impedence,1
M1_3,40.0,0.1333333333333333,2024-10-11 19:23:11,0.3,0.0,20.0,Impedence,1
M1_3,32.0,0.1066666666666666,2024-10-11 19:23:35,0.1,0.0,24.0,Impedence,1
M1_3,24.0,0.8,2024-10-11 19:23:59,1.0,0.0,24.0,Impedence,1
M1_3,40.0,0.3333333333333333,2024-10-11 19:24:52,0.5,0.0,21.0,Impedence,1
M1_3,32.0,0.0,2024-10-11 19:25:11,0.0,0.0,19.0,"Impedence, Stiffness",1
M1_3,40.0,0.7333333333333333,2024-10-11 19:25:55,1.0,0.0,25.0,Impedence,1
M1_3,40.0,0.04,2024-10-11 19:26:46,0.1,0.0,23.0,Impedence,1
M1_3,32.0,0.8,2024-10-11 19:27:11,1.0,0.0,25.0,Impedence,1
M1_3,32.0,0.5333333333333333,2024-10-11 19:27:33,0.5,0.0,22.0,Impedence,1
M1_3,24.0,0.0666666666666666,2024-10-11 19:27:52,0.1,0.0,19.0,Impedence,1
