Name,Setpoint,Feedback,Time Stamp,Maxforce,Rendering,Time Interval,Rendering Type,using
F2_1,24.0,0.3333333333333333,2024-10-10 17:17:05,0.1,0.0,29.0,Impedence,0
F2_1,32.0,0.2333333333333333,2024-10-10 17:19:21,0.3,0.0,18.0,Impedence,0
F2_1,24.0,0.1,2024-10-10 17:19:44,0.5,0.0,23.0,Impedence,0
F2_1,32.0,0.0666666666666666,2024-10-10 17:20:06,0.1,0.0,22.0,Impedence,0
F2_1,24.0,0.1666666666666666,2024-10-10 17:20:57,1.0,0.0,28.0,Impedence,0
F2_2,32.0,1.0,2024-10-10 17:21:47,0.3,0.0,0.0,Impedence,0
F2_2,24.0,0.7272727272727272,2024-10-10 17:22:52,1.0,0.0,20.0,Impedence,0
F2_2,32.0,0.6363636363636364,2024-10-10 17:23:25,0.1,0.0,33.0,Impedence,0
F2_2,24.0,0.7272727272727272,2024-10-10 17:24:09,0.5,0.0,25.0,Impedence,0
F2_2,32.0,0.3636363636363636,2024-10-10 17:24:37,0.0,0.0,28.0,"Impedence, Stiffness",0
F2_2,40.0,0.7272727272727272,2024-10-10 17:24:58,0.3,0.0,21.0,Impedence,0
F2_2,40.0,0.0909090909090908,2024-10-10 17:26:58,0.0,0.0,27.0,"Impedence, Stiffness",0
F2_2,40.0,0.4545454545454545,2024-10-10 17:28:32,1.0,0.0,27.0,Impedence,0
F2_2,24.0,0.0,2024-10-10 17:29:30,0.0,0.0,24.0,"Impedence, Stiffness",0
F2_2,24.0,0.4545454545454545,2024-10-10 17:29:55,0.1,0.0,25.0,Impedence,0
F2_2,32.0,0.5454545454545454,2024-10-10 17:30:20,0.5,0.0,25.0,Impedence,0
F2_2,32.0,0.6363636363636364,2024-10-10 17:30:50,1.0,0.0,30.0,Impedence,0
F2_2,40.0,0.5454545454545454,2024-10-10 17:31:18,0.1,0.0,28.0,Impedence,0
F2_2,40.0,0.4545454545454545,2024-10-10 17:32:13,0.5,0.0,28.0,Impedence,0
F2_2,24.0,0.5454545454545454,2024-10-10 17:32:47,0.3,0.0,34.0,Impedence,0
F2_3,24.0,0.5000000000000001,2024-10-10 17:34:01,1.0,0.0,0.0,Impedence,0
F2_3,32.0,0.3750000000000001,2024-10-10 17:35:41,0.5,0.0,22.0,Impedence,0
F2_3,32.0,0.5000000000000001,2024-10-10 17:36:09,0.3,0.0,28.0,Impedence,0
F2_3,24.0,0.6250000000000002,2024-10-10 17:36:41,0.3,0.0,32.0,Impedence,0
F2_3,40.0,0.75,2024-10-10 17:37:08,0.3,0.0,27.0,Impedence,0
F2_3,24.0,0.0,2024-10-10 17:37:29,0.0,0.0,21.0,"Impedence, Stiffness",0
F2_3,32.0,0.1249999999999999,2024-10-10 17:39:36,0.0,0.0,20.0,"Impedence, Stiffness",0
F2_3,40.0,0.2500000000000001,2024-10-10 17:40:42,0.5,0.0,27.0,Impedence,0
F2_3,24.0,0.1249999999999999,2024-10-10 17:41:40,0.1,0.0,33.0,Impedence,0
F2_3,32.0,0.1249999999999999,2024-10-10 17:43:03,0.1,0.0,45.0,Impedence,0
F2_3,40.0,0.0,2024-10-10 17:43:34,0.0,0.0,31.0,"Impedence, Stiffness",0
F2_3,40.0,0.0,2024-10-10 17:44:30,0.1,0.0,24.0,Impedence,0
F2_3,32.0,0.2500000000000001,2024-10-10 17:44:55,1.0,0.0,25.0,Impedence,0
F2_3,40.0,0.1249999999999999,2024-10-10 17:45:30,1.0,0.0,35.0,Impedence,0
F2_3,24.0,0.0,2024-10-10 17:45:53,0.5,0.0,23.0,Impedence,0
M2_1,32.0,0.1139240506329113,2024-10-11 19:56:28,1.0,0.0,23.0,Impedence,0
M2_1,40.0,0.0,2024-10-11 19:56:48,0.0,0.0,20.0,"Impedence, Stiffness",0
M2_1,40.0,0.1772151898734177,2024-10-11 19:57:09,1.0,0.0,21.0,Impedence,0
M2_1,32.0,0.050632911392405,2024-10-11 19:58:07,0.3,0.0,18.0,Impedence,0
M2_1,24.0,0.4936708860759494,2024-10-11 19:58:48,0.1,0.0,20.0,Impedence,0
M2_1,24.0,0.7468354430379747,2024-10-11 19:59:09,1.0,0.0,21.0,Impedence,0
M2_1,40.0,0.4936708860759494,2024-10-11 19:59:54,0.1,0.0,22.0,Impedence,0
M2_1,32.0,0.8734177215189873,2024-10-11 20:00:14,0.5,0.0,20.0,Impedence,0
M2_1,24.0,0.0,2024-10-11 20:00:55,0.0,0.0,19.0,"Impedence, Stiffness",0
M2_1,24.0,0.4936708860759494,2024-10-11 20:01:14,0.5,0.0,19.0,Impedence,0
