Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M4_4,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-14 20:45:59,
M4_4,0.07,0,0,0,0.05,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:338.5054|y:227.0831|z:359.2258),Pos(x:-0.575991|y:1.162856|z:1.364942)|Rot(x:349.2529|y:228.5212|z:15.44637),Pos(x:-0.5607393|y:1.209286|z:1.360996)|Rot(x:9.199802|y:241.9879|z:53.11238),Pos(x:-0.5524482|y:1.226173|z:1.339587)|Rot(x:9.199781|y:241.9879|z:53.11237),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:5.696252|y:94.96913|z:359.7508),Pos(x:-0.5860866|y:1.242432|z:1.354841)|Rot(x:17.51908|y:94.9156|z:359.74),Pos(x:-0.5783122|y:1.267184|z:1.354054)|Rot(x:28.15961|y:94.86115|z:359.7188),Pos(x:-0.5656742|y:1.2909|z:1.352847)|Rot(x:28.15966|y:94.86106|z:359.7187),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:11.93006|y:90|z:0),Pos(x:-0.5822653|y:1.248059|z:1.328133)|Rot(x:32.89983|y:90|z:0),Pos(x:-0.5672088|y:1.271333|z:1.328133)|Rot(x:51.77264|y:90|z:0),Pos(x:-0.5449774|y:1.288845|z:1.328133)|Rot(x:51.77259|y:90.00008|z:5.794989E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:9.12353|y:87.02761|z:0.1508032),Pos(x:-0.5840434|y:1.238201|z:1.304474)|Rot(x:26.11945|y:87.0767|z:0.1658307),Pos(x:-0.5724646|y:1.261855|z:1.305142)|Rot(x:40.0626|y:69.26396|z:348.4803),Pos(x:-0.5554233|y:1.281203|z:1.306084)|Rot(x:40.0626|y:69.26397|z:348.4803),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:9.130391|y:85.046|z:356.471),Pos(x:-0.5816079|y:1.222599|z:1.281686)|Rot(x:26.12619|y:85.12775|z:356.4961),Pos(x:-0.5734604|y:1.239076|z:1.281253)|Rot(x:41.53946|y:90.75257|z:0.2135433),Pos(x:-0.5607284|y:1.253447|z:1.281157)|Rot(x:41.53947|y:90.75253|z:0.2135115),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-14 20:46:29,
M4_4,0,0.22,0.26,0.36,0.32,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:343.6273|y:221.7559|z:350.0309),Pos(x:-0.5849212|y:1.163496|z:1.367709)|Rot(x:349.0836|y:221.194|z:358.5347),Pos(x:-0.5797514|y:1.211624|z:1.37552)|Rot(x:1.260883|y:222.8885|z:17.28461),Pos(x:-0.5739546|y:1.23883|z:1.369318)|Rot(x:1.260879|y:222.8886|z:17.28461),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.85721|y:94.82117|z:359.6978),Pos(x:-0.5640506|y:1.234261|z:1.352951)|Rot(x:88.68121|y:84.15949|z:349.1629),Pos(x:-0.5382|y:1.234848|z:1.350689)|Rot(x:42.83261|y:275.2237|z:180.3381),Pos(x:-0.5199736|y:1.215121|z:1.349182)|Rot(x:42.83257|y:275.2238|z:180.3382),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:41.68055|y:90|z:0),Pos(x:-0.5580668|y:1.235833|z:1.328133)|Rot(x:81.08423|y:90|z:0),Pos(x:-0.5306822|y:1.240129|z:1.328133)|Rot(x:63.45254|y:270|z:180),Pos(x:-0.505366|y:1.22748|z:1.328133)|Rot(x:63.45255|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:24.15208|y:87.07046|z:0.1631829),Pos(x:-0.5723971|y:1.234716|z:1.305074)|Rot(x:62.71526|y:87.29237|z:0.3248065),Pos(x:-0.5490174|y:1.246792|z:1.30633)|Rot(x:74.68517|y:328.6154|z:240.7169),Pos(x:-0.5234681|y:1.243459|z:1.307658)|Rot(x:74.6852|y:328.6154|z:240.7169),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.71778|y:85.09016|z:356.4817),Pos(x:-0.5752444|y:1.221016|z:1.282235)|Rot(x:49.50777|y:85.29654|z:356.6017),Pos(x:-0.561244|y:1.232934|z:1.282293)|Rot(x:76.7579|y:104.4593|z:15.23725),Pos(x:-0.5425227|y:1.237177|z:1.282677)|Rot(x:76.75796|y:104.4591|z:15.23709),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-14 20:46:59,
M4_4,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:340.4141|y:223.5382|z:350.7323),Pos(x:-0.5824881|y:1.162832|z:1.368955)|Rot(x:345.6006|y:223.0428|z:358.8266),Pos(x:-0.5749016|y:1.210312|z:1.37855)|Rot(x:357.1766|y:224.618|z:16.52543),Pos(x:-0.568186|y:1.237602|z:1.373814)|Rot(x:357.1766|y:224.6181|z:16.52543),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:29.46268|y:94.8538|z:359.7152),Pos(x:-0.5677686|y:1.236607|z:1.353266)|Rot(x:53.57409|y:94.65785|z:359.5824),Pos(x:-0.5469687|y:1.252019|z:1.351381)|Rot(x:75.27343|y:94.05045|z:359.0245),Pos(x:-0.5210534|y:1.258856|z:1.349087)|Rot(x:75.27345|y:94.05022|z:359.0243),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:31.02036|y:90|z:0),Pos(x:-0.5659683|y:1.241648|z:1.328133)|Rot(x:61.14203|y:90|z:0),Pos(x:-0.541691|y:1.255026|z:1.328133)|Rot(x:88.25158|y:90|z:0),Pos(x:-0.5134041|y:1.25589|z:1.328133)|Rot(x:88.25179|y:90.00146|z:0.001455),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:32.66957|y:87.09917|z:0.1768814),Pos(x:-0.5663257|y:1.231427|z:1.305384)|Rot(x:64.11868|y:87.31058|z:0.34109),Pos(x:-0.5426576|y:1.242926|z:1.306652)|Rot(x:76.35242|y:346.9715|z:259.676),Pos(x:-0.5169157|y:1.241835|z:1.307997)|Rot(x:76.35242|y:346.9715|z:259.676),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:18.71778|y:85.09016|z:356.4817),Pos(x:-0.5752444|y:1.221016|z:1.282235)|Rot(x:49.50777|y:85.29654|z:356.6017),Pos(x:-0.561244|y:1.232934|z:1.282293)|Rot(x:76.7579|y:104.4593|z:15.23725),Pos(x:-0.5425227|y:1.237177|z:1.282677)|Rot(x:76.75796|y:104.4591|z:15.23709),Yes,0,StressBall (UnityEngine.GameObject),2024-10-14 20:47:29,
M4_4,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:343.8306|y:220.0503|z:345.0504),Pos(x:-0.588438|y:1.162749|z:1.369885)|Rot(x:350.1755|y:218.9141|z:355.1447),Pos(x:-0.5864307|y:1.210886|z:1.378978)|Rot(x:4.510123|y:220.4749|z:17.30262),Pos(x:-0.5813717|y:1.238013|z:1.371848)|Rot(x:4.510117|y:220.4749|z:17.3026),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:3.506916|y:94.97867|z:359.7516),Pos(x:-0.5878634|y:1.242576|z:1.354995)|Rot(x:7.237391|y:94.96238|z:359.7501),Pos(x:-0.5846156|y:1.268324|z:1.3546)|Rot(x:10.59482|y:94.94748|z:359.7477),Pos(x:-0.5796984|y:1.294766|z:1.354055)|Rot(x:10.59486|y:94.94743|z:359.7477),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.541132|y:90|z:0),Pos(x:-0.5871658|y:1.248856|z:1.328133)|Rot(x:19.09877|y:90|z:0),Pos(x:-0.578096|y:1.27505|z:1.328133)|Rot(x:30.40064|y:90|z:0),Pos(x:-0.5637749|y:1.299459|z:1.328133)|Rot(x:30.40061|y:90.00006|z:3.761516E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:3.413175|y:87.01259|z:0.1491573),Pos(x:-0.5886456|y:1.238707|z:1.304234)|Rot(x:11.93461|y:87.03516|z:0.1521849),Pos(x:-0.5832087|y:1.264482|z:1.304586)|Rot(x:19.07109|y:72.66766|z:355.3709),Pos(x:-0.5745675|y:1.288786|z:1.305102)|Rot(x:19.07108|y:72.66766|z:355.3709),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:3.420074|y:85.02095|z:356.4683),Pos(x:-0.5854921|y:1.223028|z:1.281348)|Rot(x:11.94144|y:85.05859|z:356.4734),Pos(x:-0.5816116|y:1.240982|z:1.280548)|Rot(x:19.81137|y:89.4894|z:357.9661),Pos(x:-0.5751026|y:1.259034|z:1.279925)|Rot(x:19.81141|y:89.48936|z:357.9661),No,,,2024-10-14 20:47:59,
M4_4,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:337.8189|y:225.7089|z:353.9783),Pos(x:-0.5787846|y:1.162439|z:1.368362)|Rot(x:344.9264|y:225.6333|z:4.865427),Pos(x:-0.5667943|y:1.209612|z:1.374273)|Rot(x:0.1474067|y:230.2654|z:28.82699),Pos(x:-0.5580596|y:1.23458|z:1.363665)|Rot(x:0.1473982|y:230.2654|z:28.82698),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:4.071187|y:94.9762|z:359.7514),Pos(x:-0.587405|y:1.242545|z:1.354956)|Rot(x:6.421596|y:94.96596|z:359.7505),Pos(x:-0.5845227|y:1.268338|z:1.354592)|Rot(x:8.536953|y:94.95663|z:359.7493),Pos(x:-0.5805546|y:1.29494|z:1.354129)|Rot(x:8.537|y:94.95659|z:359.7493),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:3.717057|y:90|z:0),Pos(x:-0.5897578|y:1.249089|z:1.328133)|Rot(x:12.47494|y:90|z:0),Pos(x:-0.58377|y:1.276154|z:1.328133)|Rot(x:20.35705|y:90|z:0),Pos(x:-0.5739253|y:1.302686|z:1.328133)|Rot(x:20.35701|y:90.00005|z:1.45704E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:4.422956|y:87.01522|z:0.1493381),Pos(x:-0.5878285|y:1.238651|z:1.304277)|Rot(x:14.06147|y:87.04099|z:0.1534982),Pos(x:-0.58144|y:1.264206|z:1.304678)|Rot(x:22.10388|y:72.38156|z:354.5344),Pos(x:-0.5714855|y:1.288001|z:1.305261)|Rot(x:22.10388|y:72.38155|z:354.5345),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:4.429841|y:85.02534|z:356.4686),Pos(x:-0.5848024|y:1.22298|z:1.281408)|Rot(x:14.06829|y:85.06828|z:356.4755),Pos(x:-0.5802609|y:1.240781|z:1.280666)|Rot(x:22.93376|y:89.59998|z:358.2322),Pos(x:-0.5727789|y:1.258455|z:1.280126)|Rot(x:22.93379|y:89.59994|z:358.2322),No,,,2024-10-14 20:48:29,
M4_4,1,0,0,0.01,1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:339.2622|y:227.0783|z:0.09823217),Pos(x:-0.5759317|y:1.163068|z:1.364086)|Rot(x:347.0205|y:227.9211|z:11.7808),Pos(x:-0.5612218|y:1.209839|z:1.36388)|Rot(x:2.836349|y:235.2763|z:38.1288),Pos(x:-0.5521101|y:1.232231|z:1.348786)|Rot(x:2.836325|y:235.2763|z:38.12879),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:18.98108|y:94.90856|z:359.7378),Pos(x:-0.5755422|y:1.240117|z:1.35393)|Rot(x:31.98815|y:94.839|z:359.7077),Pos(x:-0.5618526|y:1.262131|z:1.352638)|Rot(x:43.6945|y:94.75697|z:359.6571),Pos(x:-0.5433474|y:1.281581|z:1.350936)|Rot(x:43.69453|y:94.75687|z:359.657),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:22.31575|y:90|z:0),Pos(x:-0.5731304|y:1.245245|z:1.328133)|Rot(x:47.45564|y:90|z:0),Pos(x:-0.5527079|y:1.263988|z:1.328133)|Rot(x:70.08154|y:90|z:0),Pos(x:-0.5261009|y:1.273629|z:1.328133)|Rot(x:70.08152|y:90.00015|z:0.0001453516),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:17.74319|y:87.05134|z:0.1563357),Pos(x:-0.5772495|y:1.236576|z:1.304825)|Rot(x:39.05568|y:87.12451|z:0.1917452),Pos(x:-0.560676|y:1.257033|z:1.305746)|Rot(x:55.79781|y:62.54708|z:339.4665),Pos(x:-0.5387718|y:1.270614|z:1.306928)|Rot(x:55.7978|y:62.54707|z:339.4665),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:17.74999|y:85.08552|z:356.4803),Pos(x:-0.5758737|y:1.221224|z:1.282181)|Rot(x:39.06232|y:85.20737|z:356.5392),Pos(x:-0.5642562|y:1.235474|z:1.282041)|Rot(x:58.24033|y:93.28101|z:3.389274),Pos(x:-0.5479214|y:1.245562|z:1.282242)|Rot(x:58.24038|y:93.28093|z:3.3892),Yes,1,StressBall (UnityEngine.GameObject),2024-10-14 20:48:59,
M4_4,0,0,0.3,0.3,0.3,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:347.4162|y:219.1673|z:348.1123),Pos(x:-0.5884693|y:1.163939|z:1.366524)|Rot(x:352.6084|y:218.4431|z:356.2376),Pos(x:-0.5870759|y:1.212457|z:1.373454)|Rot(x:4.312479|y:219.5166|z:14.25849),Pos(x:-0.5829824|y:1.240001|z:1.367385)|Rot(x:4.312471|y:219.5166|z:14.2585),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.50034|y:94.82344|z:359.6991),Pos(x:-0.5642896|y:1.234427|z:1.352971)|Rot(x:56.14885|y:94.62417|z:359.5548),Pos(x:-0.5428206|y:1.248885|z:1.351032)|Rot(x:75.63157|y:94.02582|z:359.0007),Pos(x:-0.5168632|y:1.255559|z:1.348735)|Rot(x:75.63164|y:94.02561|z:359.0005),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:32.8123|y:90|z:0),Pos(x:-0.5645666|y:1.240775|z:1.328133)|Rot(x:59.03999|y:90|z:0),Pos(x:-0.5407963|y:1.255035|z:1.328133)|Rot(x:82.64491|y:90|z:0),Pos(x:-0.5127291|y:1.258658|z:1.328133)|Rot(x:82.64481|y:90.00034|z:0.0003601298),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:20.59202|y:87.05965|z:0.1590618),Pos(x:-0.575067|y:1.235816|z:1.304938)|Rot(x:40.27801|y:87.12986|z:0.1951632),Pos(x:-0.5580614|y:1.255914|z:1.30588)|Rot(x:55.57783|y:62.69255|z:339.6434),Pos(x:-0.5362146|y:1.269588|z:1.307059)|Rot(x:55.57781|y:62.69257|z:339.6434),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:20.59881|y:85.09933|z:356.4848),Pos(x:-0.5740317|y:1.220581|z:1.282339)|Rot(x:40.28465|y:85.2163|z:356.545),Pos(x:-0.5621139|y:1.234581|z:1.282224)|Rot(x:58.00129|y:93.22427|z:3.323682),Pos(x:-0.5458217|y:1.244738|z:1.282421)|Rot(x:58.00134|y:93.22417|z:3.32359),Yes,0.3,StressBall (UnityEngine.GameObject),2024-10-14 20:49:29,
M4_4,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:340.1742|y:224.4323|z:353.2641),Pos(x:-0.5806928|y:1.163025|z:1.36772)|Rot(x:349.4833|y:224.4968|z:7.503123),Pos(x:-0.5699076|y:1.210819|z:1.369561)|Rot(x:8.505984|y:232.7606|z:39.71846),Pos(x:-0.5614682|y:1.2325|z:1.3531)|Rot(x:8.505961|y:232.7607|z:39.71847),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:6.977682|y:94.96352|z:359.7502),Pos(x:-0.5850496|y:1.242316|z:1.354751)|Rot(x:23.26619|y:94.88725|z:359.7301),Pos(x:-0.5748447|y:1.266161|z:1.353755)|Rot(x:37.92579|y:94.80066|z:359.6857),Pos(x:-0.5583814|y:1.28738|z:1.352225)|Rot(x:37.92583|y:94.80058|z:359.6856),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.405966|y:90|z:0),Pos(x:-0.5872895|y:1.24887|z:1.328133)|Rot(x:20.01805|y:90|z:0),Pos(x:-0.5778006|y:1.274915|z:1.328133)|Rot(x:32.26894|y:90|z:0),Pos(x:-0.5626915|y:1.298844|z:1.328133)|Rot(x:32.26889|y:90.00007|z:3.231116E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:1.831034|y:87.00845|z:0.1489692),Pos(x:-0.5899275|y:1.238766|z:1.304167)|Rot(x:8.617982|y:87.02625|z:0.1505909),Pos(x:-0.5859889|y:1.264812|z:1.304441)|Rot(x:14.3415|y:73.01341|z:356.6166),Pos(x:-0.5794428|y:1.289765|z:1.304849)|Rot(x:14.34149|y:73.0134|z:356.6166),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:1.837942|y:85.01409|z:356.468),Pos(x:-0.586574|y:1.223078|z:1.281254)|Rot(x:8.624843|y:85.04374|z:356.4707),Pos(x:-0.5837345|y:1.241222|z:1.280364)|Rot(x:14.94819|y:89.35072|z:357.5728),Pos(x:-0.5787774|y:1.259755|z:1.279607)|Rot(x:14.94823|y:89.35066|z:357.5728),No,,,2024-10-14 20:49:59,
M4_4,0,0,0,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:348.1248|y:219.1945|z:349.1677),Pos(x:-0.5881561|y:1.164208|z:1.365646)|Rot(x:353.3488|y:218.5667|z:357.2985),Pos(x:-0.5864266|y:1.212854|z:1.371522)|Rot(x:5.073861|y:219.869|z:15.39875),Pos(x:-0.582176|y:1.240223|z:1.364806)|Rot(x:5.073853|y:219.869|z:15.39874),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:33.9722|y:94.8268|z:359.701),Pos(x:-0.5646452|y:1.23467|z:1.353001)|Rot(x:52.29946|y:94.67305|z:359.5945),Pos(x:-0.5441922|y:1.250542|z:1.351145)|Rot(x:68.79364|y:94.35479|z:359.3145),Pos(x:-0.5192124|y:1.260272|z:1.34892)|Rot(x:68.79369|y:94.35462|z:359.3144),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:23.50303|y:90|z:0),Pos(x:-0.5721225|y:1.244819|z:1.328133)|Rot(x:44.14814|y:90|z:0),Pos(x:-0.5528154|y:1.264709|z:1.328133)|Rot(x:62.72871|y:90|z:0),Pos(x:-0.527661|y:1.277676|z:1.328133)|Rot(x:62.72865|y:90.00011|z:8.943843E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:29.90535|y:87.08934|z:0.1717595),Pos(x:-0.5682417|y:1.232593|z:1.305286)|Rot(x:53.65301|y:87.20605|z:0.2512319),Pos(x:-0.5470539|y:1.248206|z:1.306436)|Rot(x:69.98938|y:44.22095|z:319.03),Pos(x:-0.5221649|y:1.254873|z:1.307756)|Rot(x:69.98936|y:44.22096|z:319.03),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:29.91205|y:85.14878|z:356.506),Pos(x:-0.5682709|y:1.217853|z:1.28283)|Rot(x:53.65944|y:85.34322|z:356.6384),Pos(x:-0.5534474|y:1.22873|z:1.282956)|Rot(x:74.6791|y:101.7788|z:12.48149),Pos(x:-0.534901|y:1.233683|z:1.283328)|Rot(x:74.67915|y:101.7787|z:12.48139),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-14 20:50:29,
M4_4,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:331.9005|y:232.9211|z:2.763721),Pos(x:-0.5696111|y:1.160692|z:1.364318)|Rot(x:341.8595|y:234.8541|z:17.50624),Pos(x:-0.5492166|y:1.205128|z:1.360639)|Rot(x:359.584|y:246.4396|z:48.53202),Pos(x:-0.5405547|y:1.224|z:1.341119)|Rot(x:359.584|y:246.4396|z:48.53199),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:357.752|y:95.00359|z:359.7519),Pos(x:-0.5925471|y:1.242627|z:1.355404)|Rot(x:358.5034|y:95.00035|z:359.752),Pos(x:-0.5932322|y:1.268574|z:1.355352)|Rot(x:359.1798|y:94.99741|z:359.752),Pos(x:-0.5936259|y:1.295471|z:1.355269)|Rot(x:359.1798|y:94.99735|z:359.752),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:359.9132|y:90|z:0),Pos(x:-0.5932611|y:1.2492|z:1.328133)|Rot(x:3.853719|y:90|z:0),Pos(x:-0.5913981|y:1.276857|z:1.328133)|Rot(x:7.400131|y:90|z:0),Pos(x:-0.5877531|y:1.304921|z:1.328133)|Rot(x:7.400089|y:90.00006|z:1.07618E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:359.9411|y:87.00354|z:0.1488965),Pos(x:-0.5914602|y:1.238789|z:1.304087)|Rot(x:3.915697|y:87.01389|z:0.149245),Pos(x:-0.5896672|y:1.265072|z:1.30425)|Rot(x:7.317355|y:73.32586|z:358.3765),Pos(x:-0.5863109|y:1.290652|z:1.304492)|Rot(x:7.317348|y:73.32587|z:358.3765),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:359.948|y:85.00591|z:356.4679),Pos(x:-0.5878676|y:1.223098|z:1.281141)|Rot(x:3.922585|y:85.02314|z:356.4684),Pos(x:-0.5865186|y:1.241406|z:1.280122)|Rot(x:7.73489|y:89.21109|z:357.0233),Pos(x:-0.5839246|y:1.260406|z:1.27916)|Rot(x:7.734929|y:89.21104|z:357.0233),Yes,0,StressBall (UnityEngine.GameObject),2024-10-14 20:50:59,
