Name,FFB_Thumb,FFB_Index,FFB_Middle,FFB_Ring,FFB_Pinky,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_FingerTip,Index_MCP,Index_PIP,Index_DIP,Index_FingerTip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_FingerTip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_FingerTip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_FingerTip,IsTouching,MaxForce,Material,TimeStamp,
M6_2,0,0,0,0,0,Pos(x:-0.5820366|y:1.117028|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.584217|y:1.160885|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5866516|y:1.209854|z:1.353552)|Rot(x:358.4391|y:146.7618|z:357.6198),Pos(x:-0.5880667|y:1.238319|z:1.353552)|Rot(x:358.4391|y:146.7619|z:357.6198),Pos(x:-0.5853671|y:1.19086|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5876924|y:1.237632|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5889812|y:1.263556|z:1.355446)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5903169|y:1.290422|z:1.355446)|Rot(x:357.1539|y:89.99994|z:8.761986E-06),Pos(x:-0.5878487|y:1.19142|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5904707|y:1.24416|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5918471|y:1.271846|z:1.328133)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5932523|y:1.300111|z:1.328133)|Rot(x:357.1538|y:90.00005|z:-1.282242E-06),Pos(x:-0.5860737|y:1.187279|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5883844|y:1.233758|z:1.303969)|Rot(x:357.1538|y:90|z:0),Pos(x:-0.5896925|y:1.26007|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689773),Pos(x:-0.5909736|y:1.285838|z:1.303969)|Rot(x:357.2335|y:76.4001|z:0.6689875),Pos(x:-0.5827112|y:1.178741|z:1.283566)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5846661|y:1.218064|z:1.280964)|Rot(x:357.1538|y:90|z:356.2199),Pos(x:-0.5855771|y:1.236388|z:1.279752)|Rot(x:357.4341|y:94.13728|z:356.0245),Pos(x:-0.5865284|y:1.255522|z:1.278486)|Rot(x:357.4341|y:94.13724|z:356.0245),No,,,2024-10-16 16:26:06,
M6_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:340.1502|y:220.8852|z:340.4129),Pos(x:-0.5893036|y:1.160914|z:1.373808)|Rot(x:344.7334|y:219.5299|z:348.0882),Pos(x:-0.589069|y:1.207196|z:1.389992)|Rot(x:355.3963|y:218.8388|z:4.594991),Pos(x:-0.5858606|y:1.235512|z:1.390337)|Rot(x:355.3963|y:218.8388|z:4.594962),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:2.574362|y:94.98271|z:359.7518),Pos(x:-0.5886217|y:1.242616|z:1.355062)|Rot(x:18.94297|y:94.90876|z:359.7378),Pos(x:-0.5802369|y:1.267166|z:1.354222)|Rot(x:33.67471|y:94.82864|z:359.7021),Pos(x:-0.5653864|y:1.289552|z:1.352827)|Rot(x:33.67474|y:94.82859|z:359.702),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:7.035941|y:90|z:0),Pos(x:-0.5867129|y:1.248802|z:1.328133)|Rot(x:22.8832|y:90|z:0),Pos(x:-0.5759341|y:1.27434|z:1.328133)|Rot(x:37.14573|y:90|z:0),Pos(x:-0.5588452|y:1.296898|z:1.328133)|Rot(x:37.14569|y:90.00005|z:2.356412E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:6.64308|y:87.02105|z:0.1498987),Pos(x:-0.5860362|y:1.238477|z:1.30437)|Rot(x:21.79893|y:87.06323|z:0.160361),Pos(x:-0.5762699|y:1.262937|z:1.304945)|Rot(x:34.34879|y:70.58236|z:350.6834),Pos(x:-0.5613334|y:1.283957|z:1.305782)|Rot(x:34.3488|y:70.58237|z:350.6834),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:6.649949|y:85.03506|z:356.4695),Pos(x:-0.5832898|y:1.222833|z:1.28154)|Rot(x:21.8057|y:85.10535|z:356.487),Pos(x:-0.5764016|y:1.239872|z:1.280999)|Rot(x:35.59035|y:90.26919|z:359.4807),Pos(x:-0.5652289|y:1.255484|z:1.280772)|Rot(x:35.59039|y:90.26913|z:359.4806),No,,,2024-10-16 16:26:36,
M6_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:335.0901|y:223.9427|z:340.914),Pos(x:-0.5855786|y:1.159639|z:1.376101)|Rot(x:337.2517|y:223.2106|z:344.6596),Pos(x:-0.582514|y:1.203244|z:1.398308)|Rot(x:342.2421|y:222.1506|z:352.7931),Pos(x:-0.5793776|y:1.230172|z:1.407101)|Rot(x:342.2422|y:222.1507|z:352.7931),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:5.379496|y:94.97051|z:359.7509),Pos(x:-0.5863433|y:1.242457|z:1.354863)|Rot(x:17.65595|y:94.91494|z:359.7398),Pos(x:-0.57851|y:1.26719|z:1.354071)|Rot(x:28.70474|y:94.85808|z:359.7173),Pos(x:-0.5656478|y:1.290784|z:1.352845)|Rot(x:28.70479|y:94.85802|z:359.7173),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:6.514197|y:90|z:0),Pos(x:-0.5871904|y:1.248859|z:1.328133)|Rot(x:19.98169|y:90|z:0),Pos(x:-0.577718|y:1.27491|z:1.328133)|Rot(x:32.10242|y:90|z:0),Pos(x:-0.5626785|y:1.298883|z:1.328133)|Rot(x:32.10239|y:90.00006|z:3.023636E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:5.012141|y:87.01675|z:0.1494685),Pos(x:-0.5873522|y:1.238611|z:1.304302)|Rot(x:16.30229|y:87.04724|z:0.1551357),Pos(x:-0.5799708|y:1.263896|z:1.304754)|Rot(x:25.70717|y:71.96827|z:353.4911),Pos(x:-0.5684924|y:1.286993|z:1.305415)|Rot(x:25.70717|y:71.96827|z:353.4911),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:5.019032|y:85.02792|z:356.4688),Pos(x:-0.5844005|y:1.222947|z:1.281443)|Rot(x:16.3091|y:85.0787|z:356.4783),Pos(x:-0.5791692|y:1.24056|z:1.28076)|Rot(x:26.64868|y:89.75639|z:358.5666),Pos(x:-0.5705583|y:1.257715|z:1.280316)|Rot(x:26.64872|y:89.75634|z:358.5665),No,,,2024-10-16 16:27:06,
M6_2,0.06,0.01,0.04,0.07,0.05,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:316.5768|y:222.5469|z:21.69353),Pos(x:-0.5564463|y:1.151636|z:1.363239)|Rot(x:326.1422|y:229.0318|z:34.21733),Pos(x:-0.5213137|y:1.185304|z:1.35723)|Rot(x:341.5137|y:247.7092|z:61.41961),Pos(x:-0.5078207|y:1.198235|z:1.335713)|Rot(x:341.5137|y:247.7093|z:61.41958),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:34.99178|y:94.8203|z:359.6973),Pos(x:-0.5639607|y:1.234198|z:1.352943)|Rot(x:89.00044|y:80.63568|z:345.6398),Pos(x:-0.5381072|y:1.234637|z:1.350682)|Rot(x:42.33272|y:275.2197|z:180.3354),Pos(x:-0.5200529|y:1.214751|z:1.349191)|Rot(x:42.33269|y:275.2198|z:180.3355),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:24.12369|y:90|z:0),Pos(x:-0.5715992|y:1.244588|z:1.328133)|Rot(x:62.65203|y:90|z:0),Pos(x:-0.5469778|y:1.257322|z:1.328133)|Rot(x:82.67252|y:270|z:180),Pos(x:-0.5189089|y:1.253713|z:1.328133)|Rot(x:82.67261|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:19.68405|y:87.05695|z:0.1581302),Pos(x:-0.5757585|y:1.23607|z:1.304902)|Rot(x:51.86438|y:87.19336|z:0.2411216),Pos(x:-0.5550678|y:1.252338|z:1.306027)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5296331|y:1.256451|z:1.307369)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.82047|y:85.07176|z:356.4764),Pos(x:-0.5777987|y:1.221788|z:1.282015)|Rot(x:40.04295|y:85.21452|z:356.5438),Pos(x:-0.5659399|y:1.235838|z:1.281896)|Rot(x:62.68623|y:94.52964|z:4.800942),Pos(x:-0.5488666|y:1.244618|z:1.282155)|Rot(x:62.68629|y:94.52956|z:4.800871),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-16 16:27:36,
M6_2,0.5,0,0.5,0.5,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:313.0693|y:220.0546|z:20.12606),Pos(x:-0.5564213|y:1.150157|z:1.366884)|Rot(x:320.7216|y:224.9156|z:29.69571),Pos(x:-0.5201827|y:1.183126|z:1.368829)|Rot(x:334.0392|y:237.8537|z:49.25493),Pos(x:-0.5017992|y:1.199851|z:1.354879)|Rot(x:334.0392|y:237.8537|z:49.25491),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:16.94712|y:94.9183|z:359.7408),Pos(x:-0.5771177|y:1.24063|z:1.354065)|Rot(x:76.44646|y:93.96522|z:358.9419),Pos(x:-0.5519825|y:1.246712|z:1.351842)|Rot(x:49.99941|y:275.2894|z:180.3858),Pos(x:-0.5314475|y:1.229421|z:1.350123)|Rot(x:49.99935|y:275.2895|z:180.3858),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:24.12369|y:90|z:0),Pos(x:-0.5715992|y:1.244588|z:1.328133)|Rot(x:62.65203|y:90|z:0),Pos(x:-0.5469778|y:1.257322|z:1.328133)|Rot(x:82.67252|y:270|z:180),Pos(x:-0.5189089|y:1.253713|z:1.328133)|Rot(x:82.67261|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:19.68405|y:87.05695|z:0.1581302),Pos(x:-0.5757585|y:1.23607|z:1.304902)|Rot(x:51.86438|y:87.19336|z:0.2411216),Pos(x:-0.5550678|y:1.252338|z:1.306027)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5296331|y:1.256451|z:1.307369)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.82047|y:85.07176|z:356.4764),Pos(x:-0.5777987|y:1.221788|z:1.282015)|Rot(x:40.04295|y:85.21452|z:356.5438),Pos(x:-0.5659399|y:1.235838|z:1.281896)|Rot(x:62.68623|y:94.52964|z:4.800942),Pos(x:-0.5488666|y:1.244618|z:1.282155)|Rot(x:62.68629|y:94.52956|z:4.800871),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-16 16:28:06,
M6_2,0,0,0,0.18,0.27,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:337.282|y:224.2494|z:347.7676),Pos(x:-0.5824688|y:1.161587|z:1.371916)|Rot(x:348.7346|y:223.5549|z:5.583214),Pos(x:-0.5724432|y:1.209444|z:1.375538)|Rot(x:11.68838|y:234.4879|z:45.78821),Pos(x:-0.5638544|y:1.228906|z:1.356571)|Rot(x:11.68837|y:234.4879|z:45.78819),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:359.2696|y:94.99702|z:359.752),Pos(x:-0.5913118|y:1.24266|z:1.355296)|Rot(x:36.33413|y:94.81149|z:359.6922),Pos(x:-0.5759993|y:1.263569|z:1.353868)|Rot(x:69.69147|y:94.32378|z:359.2855),Pos(x:-0.5508704|y:1.272904|z:1.351631)|Rot(x:69.69152|y:94.32365|z:359.2854),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:11.69022|y:90|z:0),Pos(x:-0.5824817|y:1.248104|z:1.328133)|Rot(x:49.52712|y:90|z:0),Pos(x:-0.561395|y:1.266097|z:1.328133)|Rot(x:83.58042|y:90|z:0),Pos(x:-0.5332725|y:1.269261|z:1.328133)|Rot(x:83.58033|y:90.00044|z:0.000442882),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:19.68405|y:87.05695|z:0.1581302),Pos(x:-0.5757585|y:1.23607|z:1.304902)|Rot(x:51.86438|y:87.19336|z:0.2411216),Pos(x:-0.5550678|y:1.252338|z:1.306027)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5296331|y:1.256451|z:1.307369)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.82047|y:85.07176|z:356.4764),Pos(x:-0.5777987|y:1.221788|z:1.282015)|Rot(x:40.04295|y:85.21452|z:356.5438),Pos(x:-0.5659399|y:1.235838|z:1.281896)|Rot(x:62.68623|y:94.52964|z:4.800942),Pos(x:-0.5488666|y:1.244618|z:1.282155)|Rot(x:62.68629|y:94.52956|z:4.800871),Yes,1,StressBall (UnityEngine.GameObject),2024-10-16 16:28:36,
M6_2,0,0,0,0.1,0.1,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:318.1676|y:233.7104|z:349.441),Pos(x:-0.5689251|y:1.154166|z:1.377079)|Rot(x:319.6548|y:233.3871|z:351.9506),Pos(x:-0.5477923|y:1.191167|z:1.401334)|Rot(x:323.0301|y:232.9833|z:357.3727),Pos(x:-0.5349078|y:1.213913|z:1.412685)|Rot(x:323.0301|y:232.9833|z:357.3726),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:5.927865|y:94.96811|z:359.7507),Pos(x:-0.585899|y:1.242413|z:1.354825)|Rot(x:26.10639|y:94.87235|z:359.7239),Pos(x:-0.5745293|y:1.265721|z:1.35373)|Rot(x:44.26701|y:94.75217|z:359.6537),Pos(x:-0.5558314|y:1.284983|z:1.352012)|Rot(x:44.26705|y:94.75209|z:359.6537),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:5.855744|y:90|z:0),Pos(x:-0.5877937|y:1.248924|z:1.328133)|Rot(x:19.49831|y:90|z:0),Pos(x:-0.5785415|y:1.275054|z:1.328133)|Rot(x:31.77663|y:90|z:0),Pos(x:-0.5636384|y:1.299112|z:1.328133)|Rot(x:31.77659|y:90.00005|z:2.812073E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:13.84352|y:87.04039|z:0.1533528),Pos(x:-0.5802926|y:1.237438|z:1.304668)|Rot(x:41.45797|y:87.13524|z:0.1986746),Pos(x:-0.5628773|y:1.257181|z:1.305631)|Rot(x:62.96556|y:56.23073|z:332.1194),Pos(x:-0.5392849|y:1.267547|z:1.306893)|Rot(x:62.96556|y:56.23074|z:332.1194),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:13.85036|y:85.06728|z:356.4753),Pos(x:-0.5784422|y:1.221953|z:1.28196)|Rot(x:41.46459|y:85.22526|z:356.5508),Pos(x:-0.5662398|y:1.235706|z:1.281869)|Rot(x:66.20435|y:95.86839|z:6.267003),Pos(x:-0.5486541|y:1.243407|z:1.282168)|Rot(x:66.20438|y:95.86832|z:6.266935),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-16 16:29:06,
M6_2,0,0,0,0,0.02,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:308.6222|y:238.8974|z:353.2469),Pos(x:-0.560865|y:1.14922|z:1.375573)|Rot(x:311.6301|y:238.545|z:358.116),Pos(x:-0.5304608|y:1.181774|z:1.396061)|Rot(x:318.3997|y:239.0649|z:8.106414),Pos(x:-0.5123267|y:1.202874|z:1.402244)|Rot(x:318.3997|y:239.0649|z:8.106374),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:4.245435|y:94.97546|z:359.7514),Pos(x:-0.5872635|y:1.242535|z:1.354943)|Rot(x:24.00065|y:94.88348|z:359.7286),Pos(x:-0.5767549|y:1.266246|z:1.353922)|Rot(x:41.78027|y:94.77232|z:359.6675),Pos(x:-0.5589075|y:1.286306|z:1.352275)|Rot(x:41.78031|y:94.77224|z:359.6674),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:3.572794|y:90|z:0),Pos(x:-0.5898905|y:1.249097|z:1.328133)|Rot(x:13.61043|y:90|z:0),Pos(x:-0.5833675|y:1.276038|z:1.328133)|Rot(x:22.64433|y:90|z:0),Pos(x:-0.5724718|y:1.302157|z:1.328133)|Rot(x:22.64428|y:90.00006|z:2.127697E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:7.337896|y:87.02287|z:0.1501313),Pos(x:-0.5854769|y:1.238408|z:1.304399)|Rot(x:23.92606|y:87.06974|z:0.1628876),Pos(x:-0.5748106|y:1.262489|z:1.30502)|Rot(x:37.61978|y:69.87511|z:349.4651),Pos(x:-0.5586495|y:1.28258|z:1.305919)|Rot(x:37.61978|y:69.8751|z:349.4651),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:7.34477|y:85.03811|z:356.4699),Pos(x:-0.5828176|y:1.222775|z:1.281581)|Rot(x:23.93283|y:85.11619|z:356.4912),Pos(x:-0.5753042|y:1.239549|z:1.281093)|Rot(x:38.99145|y:90.52853|z:359.8841),Pos(x:-0.5632244|y:1.254472|z:1.280943)|Rot(x:38.99149|y:90.52849|z:359.8841),No,,,2024-10-16 16:29:36,
M6_2,0.04,0,0.02,0.03,0.03,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:315.9779|y:223.3609|z:15.52447),Pos(x:-0.5586368|y:1.152425|z:1.36686)|Rot(x:323.882|y:227.2647|z:25.92952),Pos(x:-0.5249973|y:1.188045|z:1.368751)|Rot(x:337.7869|y:238.9309|z:46.8489),Pos(x:-0.5079552|y:1.20609|z:1.354744)|Rot(x:337.7869|y:238.9309|z:46.84887),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:23.91985|y:94.88388|z:359.7287),Pos(x:-0.5718001|y:1.238641|z:1.353609)|Rot(x:81.30133|y:93.37299|z:358.3603),Pos(x:-0.5462413|y:1.242565|z:1.351359)|Rot(x:47.04832|y:275.2602|z:180.3639),Pos(x:-0.5266201|y:1.224236|z:1.349724)|Rot(x:47.04826|y:275.2603|z:180.364),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:24.12369|y:90|z:0),Pos(x:-0.5715992|y:1.244588|z:1.328133)|Rot(x:62.65203|y:90|z:0),Pos(x:-0.5469778|y:1.257322|z:1.328133)|Rot(x:82.67252|y:270|z:180),Pos(x:-0.5189089|y:1.253713|z:1.328133)|Rot(x:82.67261|y:269.9996|z:179.9996),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:19.68405|y:87.05695|z:0.1581302),Pos(x:-0.5757585|y:1.23607|z:1.304902)|Rot(x:51.86438|y:87.19336|z:0.2411216),Pos(x:-0.5550678|y:1.252338|z:1.306027)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5296331|y:1.256451|z:1.307369)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.82047|y:85.07176|z:356.4764),Pos(x:-0.5777987|y:1.221788|z:1.282015)|Rot(x:40.04295|y:85.21452|z:356.5438),Pos(x:-0.5659399|y:1.235838|z:1.281896)|Rot(x:62.68623|y:94.52964|z:4.800942),Pos(x:-0.5488666|y:1.244618|z:1.282155)|Rot(x:62.68629|y:94.52956|z:4.800871),Yes,0.1,StressBall (UnityEngine.GameObject),2024-10-16 16:30:06,
M6_2,0,0,0,0,0,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:334.5999|y:223.7145|z:337.7128),Pos(x:-0.587362|y:1.158705|z:1.377658)|Rot(x:335.4863|y:223.3298|z:339.327),Pos(x:-0.5868925|y:1.200443|z:1.403381)|Rot(x:337.5139|y:222.5733|z:342.8955),Pos(x:-0.5860173|y:1.225612|z:1.416723)|Rot(x:337.5139|y:222.5733|z:342.8955),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:3.081458|y:94.98051|z:359.7517),Pos(x:-0.5882093|y:1.242596|z:1.355026)|Rot(x:15.40495|y:94.92555|z:359.7428),Pos(x:-0.5813499|y:1.267619|z:1.354318)|Rot(x:26.49608|y:94.87026|z:359.7229),Pos(x:-0.5694034|y:1.291693|z:1.353169)|Rot(x:26.49612|y:94.87019|z:359.7229),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:2.337052|y:90|z:0),Pos(x:-0.5910279|y:1.249156|z:1.328133)|Rot(x:9.972208|y:90|z:0),Pos(x:-0.5862277|y:1.276457|z:1.328133)|Rot(x:16.84382|y:90|z:0),Pos(x:-0.5780273|y:1.303542|z:1.328133)|Rot(x:16.84378|y:90.00005|z:1.42727E-05),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:1.478021|y:87.00753|z:0.1489496),Pos(x:-0.5902137|y:1.238774|z:1.304152)|Rot(x:7.81273|y:87.02412|z:0.1502895),Pos(x:-0.586641|y:1.264874|z:1.304407)|Rot(x:13.165|y:73.08181|z:356.9176),Pos(x:-0.5806237|y:1.289959|z:1.304788)|Rot(x:13.165|y:73.08182|z:356.9176),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:1.484932|y:85.01257|z:356.468),Pos(x:-0.5868155|y:1.223085|z:1.281233)|Rot(x:7.819604|y:85.04019|z:356.4702),Pos(x:-0.5842302|y:1.241265|z:1.280321)|Rot(x:13.73938|y:89.32207|z:357.4784),Pos(x:-0.5796649|y:1.259898|z:1.27953)|Rot(x:13.73942|y:89.32203|z:357.4784),No,,,2024-10-16 16:30:36,
M6_2,0.5,0,0.5,0.5,0.5,Pos(x:-0.587369|y:1.122002|z:1.353552)|Rot(x:308.6389|y:213.112|z:29.39955),Pos(x:-0.5529899|y:1.14589|z:1.366806)|Rot(x:315.7387|y:220.0471|z:37.22781),Pos(x:-0.5127516|y:1.173848|z:1.368579)|Rot(x:327.9015|y:235.7818|z:54.20316),Pos(x:-0.4924275|y:1.18797|z:1.354445)|Rot(x:327.9014|y:235.7818|z:54.20312),Pos(x:-0.5906995|y:1.195834|z:1.355446)|Rot(x:12.1718|y:94.94038|z:359.7463),Pos(x:-0.5808804|y:1.241611|z:1.35439)|Rot(x:61.70054|y:94.53333|z:359.477),Pos(x:-0.5581178|y:1.253915|z:1.352347)|Rot(x:73.71997|y:275.843|z:180.8846),Pos(x:-0.5323914|y:1.246375|z:1.350132)|Rot(x:73.71991|y:275.8432|z:180.8848),Pos(x:-0.5931811|y:1.196394|z:1.328133)|Rot(x:17.25638|y:90|z:0),Pos(x:-0.5775166|y:1.246823|z:1.328133)|Rot(x:69.80247|y:90|z:0),Pos(x:-0.5515015|y:1.256393|z:1.328133)|Rot(x:62.90606|y:270|z:180),Pos(x:-0.5263071|y:1.243504|z:1.328133)|Rot(x:62.90611|y:269.9999|z:179.9999),Pos(x:-0.5914061|y:1.192253|z:1.303969)|Rot(x:19.68405|y:87.05695|z:0.1581302),Pos(x:-0.5757585|y:1.23607|z:1.304902)|Rot(x:51.86438|y:87.19336|z:0.2411216),Pos(x:-0.5550678|y:1.252338|z:1.306027)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5296331|y:1.256451|z:1.307369)|Rot(x:73.78165|y:30.70062|z:304.8035),Pos(x:-0.5880436|y:1.183715|z:1.283566)|Rot(x:14.82047|y:85.07176|z:356.4764),Pos(x:-0.5777987|y:1.221788|z:1.282015)|Rot(x:40.04295|y:85.21452|z:356.5438),Pos(x:-0.5659399|y:1.235838|z:1.281896)|Rot(x:62.68623|y:94.52964|z:4.800942),Pos(x:-0.5488666|y:1.244618|z:1.282155)|Rot(x:62.68629|y:94.52956|z:4.800871),Yes,0.5,StressBall (UnityEngine.GameObject),2024-10-16 16:31:06,
